ITEM_20150317_000001	$Elmo_vazio 
ITEM_20150323_004213	{memo X} 
ITEM_20150323_004214	{memo X}Pedaço de Chifre de Drake 
ITEM_20150323_004215	{memo X} 
ITEM_20150323_004216	Bolsa de Grãos Roubada
ITEM_20150323_004217	Bolsa roubada que serviu de suborno para os soldados da Fazenda Shaton. 
ITEM_20150323_004218	Antídoto de Druida 
ITEM_20150323_004219	{memo X}Antídoto especial para neutralizar o veneno das parreiras 
ITEM_20150323_004220	Vara da Obediência
ITEM_20150323_004221	{memo X}Galho com os poderes de Druida. Dizem que pode amansar monstros. 
ITEM_20150323_004222	Vasilha de Pedra Vazia de Druida 
ITEM_20150323_004223	{memo X}Vasilha especial usada pelos Druidas para rituais. Está vazia no momento. 
ITEM_20150323_004224	Vasilha de Pedra com Água 
ITEM_20150323_004225	{memo X}Vasilha especial usada pelos Druidas para rituais. Está cheia de água. 
ITEM_20150323_004226	{memo X}Bolsas de Sementes do Louis 
ITEM_20150323_004227	{memo X}Bolsas importantes que foram roubadas dos soldados. 
ITEM_20150323_004228	Colar Sangrento
ITEM_20150323_004229	{memo X}Colar de ouro com entalhe que simboliza afiliação à Família Shaton. Tem manchas de sangue. 
ITEM_20150323_004230	{memo X}Ferrão de Lauzinute 
ITEM_20150323_004231	{memo X}Ferrão da cauda que prova ter derrotado Lauzinute. 
ITEM_20150323_004232	Bolsa de Remédios de Valen
ITEM_20150323_004233	{memo X}Bolsa que o Mordomo Valen pediu de Klaipeda. Contém remédios para curar doenças internas. 
ITEM_20150323_004234	{memo X}Folha de Besouronte 
ITEM_20150323_004235	{memo X}Folhas que ficam na cabeça do Besouronte. Parecem ser aproveitáveis. 
ITEM_20150323_004236	Seiva de Ridimed Negro 
ITEM_20150323_004237	Amostra de monstro solicitada pelo pesquisador Gareth 
ITEM_20150323_004238	Caule Resistente de Sakmoli Laranja
ITEM_20150323_004239	Coração de Chupaluka Rosa
ITEM_20150323_004240	{memo X}Amostra de monstro solicitada pelo Piromante 
ITEM_20150323_004241	Material de Pesquisa de Piromante 
ITEM_20150323_004242	{memo X} 
ITEM_20150323_004243	Couro com Círculo Mágico Inscrito 
ITEM_20150323_004244	{memo X}Fragmento de quando você destruiu o altar. 
ITEM_20150323_004245	Solvente de Desintoxicação do Mestre Caçador
ITEM_20150323_004246	Folha de Ridimed 
ITEM_20150323_004247	{memo X}Ingrediente para fazer um antídoto 
ITEM_20150323_004248	Veneno Misterioso 
ITEM_20150323_004249	{memo X}Veneno proveniente de uma adaga desconhecida. 
ITEM_20150323_004250	{memo X}Espantalho criado por Louise 
ITEM_20150323_004251	Dispositivo de Repressão de Monstros 
ITEM_20150323_004252	{memo X}Aparelho para conter o crescimento de plantas. 
ITEM_20150323_004253	Dispositivo de Controle de Planta Pequena 
ITEM_20150323_004254	Aparelho de controle de plantas que o Pesquisador Gareth deu a você 
ITEM_20150323_004255	Fórmulas de Antídoto 
ITEM_20150323_004256	{memo X}Fórmulas escritas pelo Mestre Caçador. 
ITEM_20150323_004257	Essência de Leadmed Negro 
ITEM_20150323_004258	Essência de Sakmoli Vermelho 
ITEM_20150323_004259	{memo X}Item de teste de Masmorra Grátis 
ITEM_20150401_004260	Braçadeira I 
ITEM_20150401_004261	Gládio Antigo 
ITEM_20150401_004262	Alfanje Rudimentar 
ITEM_20150401_004263	Kaskara Rudimentar 
ITEM_20150401_004264	Shamshir Antiga 
ITEM_20150401_004265	Cimitarra Antiga 
ITEM_20150401_004266	Kaskara Antiga 
ITEM_20150401_004267	Gládio Superior 
ITEM_20150401_004268	Alfanje Superior 
ITEM_20150401_004269	Cinquedea Superior 
ITEM_20150401_004270	Sabre Superior 
ITEM_20150401_004271	Shamshir Superior 
ITEM_20150401_004272	Colosso Antiga 
ITEM_20150401_004273	Flambérgia Superior 
ITEM_20150401_004274	Nodachi Superior 
ITEM_20150401_004275	Claymore Superior 
ITEM_20150401_004276	Bastão Curto Antigo 
ITEM_20150401_004277	Bastão Longo Rudimentar 
ITEM_20150401_004278	Bengala de Nômade Rudimentar 
ITEM_20150401_004279	Bastão Puter Antigo 
ITEM_20150401_004280	Bastão de Coruja Antigo 
ITEM_20150401_004281	Bengala de Nômade Antiga 
ITEM_20150401_004282	Bastão Curto Superior 
ITEM_20150401_004283	Bastão Longo Superior 
ITEM_20150401_004284	Bengala Superior 
ITEM_20150401_004285	Bengala de Pastor Superior 
ITEM_20150401_004286	Bastão Puter Superior 
ITEM_20150401_004287	Arco Leve Antigo 
ITEM_20150401_004288	Arco Curto Rudimentar 
ITEM_20150401_004289	Arco Longo Rudimentar 
ITEM_20150401_004290	Arco de Rokas Antigo 
ITEM_20150401_004291	Gorithos Antigo 
ITEM_20150401_004292	Arco Longo Antigo 
ITEM_20150401_004293	Arco Leve Superior 
ITEM_20150401_004294	Arco Curto Superior 
ITEM_20150401_004295	Arco Composto Superior 
ITEM_20150401_004296	Arco Simples Superior 
ITEM_20150401_004297	Arco de Rokas Superior 
ITEM_20150401_004298	Besta Leve Rudimentar 
ITEM_20150401_004299	Besta Rudimentar 
ITEM_20150401_004300	Besta de Carvalho Antiga 
ITEM_20150401_004301	Besta de Lacre Antiga 
ITEM_20150401_004302	Besta Leve Superior 
ITEM_20150401_004303	Dokyu Superior 
ITEM_20150401_004304	Besta de Combate Superior 
ITEM_20150401_004305	Besta de Carvalho Superior 
ITEM_20150401_004306	Besta Superior 
ITEM_20150401_004307	Clava de Madeira Antiga 
ITEM_20150401_004308	Maça Rudimentar 
ITEM_20150401_004309	Godendlava Antiga 
ITEM_20150401_004310	Picareta de Combate Antiga 
ITEM_20150401_004311	Maça Antiga 
ITEM_20150401_004312	Clava de Madeira Superior 
ITEM_20150401_004313	Clava de Ferro Superior 
ITEM_20150401_004314	$Estrela da Manhã Superior 
ITEM_20150401_004315	{memo X}Maul Superior 
ITEM_20150401_004316	Godendlava Superior 
ITEM_20150401_004317	Maul de Combate 
ITEM_20150401_004318	Broquel de Madeira Antigo 
ITEM_20150401_004319	Escudo Pipa de Madeira Antigo 
ITEM_20150401_004320	Escudo Pipa Superior 
ITEM_20150401_004321	Lança Curta Superior 
ITEM_20150401_004322	Espontoon Superior 
ITEM_20150401_004323	Cajado Uden Rudimentar 
ITEM_20150401_004324	Cajado de Carvalho Rudimentar 
ITEM_20150401_004325	Cajado de Madeira Superior 
ITEM_20150401_004326	Cajado Superior 
ITEM_20150401_004327	Cajado Ju Superior 
ITEM_20150401_004328	Cajado Uboko Superior 
ITEM_20150401_004329	Cajado de Aço Superior 
ITEM_20150401_004330	Cajado Perfeito Superior 
ITEM_20150401_004331	Revólver 
ITEM_20150401_004332	Garrucha 
ITEM_20150401_004333	Pistola Longa 
ITEM_20150401_004334	Luvas de Grima 
ITEM_20150401_004335	{memo X}Dica de ferramenta incompleta. 
ITEM_20150401_004336	Botas de Grima 
ITEM_20150401_004337	Luvas de Floresta 
ITEM_20150401_004338	Botas de Floresta 
ITEM_20150401_004339	Luvas de Escama Superiores 
ITEM_20150401_004340	Botas de Escama Superiores 
ITEM_20150401_004341	Calças de Escama Superiores 
ITEM_20150401_004342	Armadura de Escama Superior 
ITEM_20150401_004343	Luvas Reais 
ITEM_20150401_004344	Botas Reais 
ITEM_20150401_004345	Luvas de Couro Resistente Antigas 
ITEM_20150401_004346	Botas de Couro Resistente Antigas 
ITEM_20150401_004347	Calças de Couro Resistente Antigas 
ITEM_20150401_004348	Armadura de Couro Resistente Antiga 
ITEM_20150401_004349	Luvas de Malha de Corrente Antigas 
ITEM_20150401_004350	Botas de Malha de Corrente Antigas 
ITEM_20150401_004351	Calças de Malha de Corrente Antigas 
ITEM_20150401_004352	Armadura de Malha de Corrente Antiga 
ITEM_20150401_004353	Luvas de Malha de Corrente de Aço Antigas 
ITEM_20150401_004354	Botas de Malha de Corrente de Aço Antigas 
ITEM_20150401_004355	Calças de Malha de Corrente de Aço Antigas 
ITEM_20150401_004356	Armadura de Malha de Corrente de Aço Antiga 
ITEM_20150401_004357	Calças Acolchoadas Superiores 
ITEM_20150401_004358	Armadura Acolchoada Superior 
ITEM_20150401_004359	Luvas Reais Superiores 
ITEM_20150401_004360	Botas Reais Superiores 
ITEM_20150401_004361	Calças Reais Superiores 
ITEM_20150401_004362	Túnica Real Superior 
ITEM_20150401_004363	Luvas de Brigantina Superiores 
ITEM_20150401_004364	Botas de Brigantina Superiores 
ITEM_20150401_004365	Calças de Brigantina Superiores 
ITEM_20150401_004366	Armadura de Brigantina Superior 
ITEM_20150401_004367	Luvas Forradas de Metal 
ITEM_20150401_004368	Caneleiras Forradas de Metal 
ITEM_20150401_004369	Calças Forradas de Metal 
ITEM_20150401_004370	Armadura Forrada de Metal 
ITEM_20150401_004371	Luvas de Fedimian 
ITEM_20150401_004372	Botas de Fedimian 
ITEM_20150401_004373	Calças de Fedimian 
ITEM_20150401_004374	Túnica de Fedimian 
ITEM_20150401_004375	Luvas de Couro de Fedimian 
ITEM_20150401_004376	Botas de Couro de Fedimian 
ITEM_20150401_004377	Calças de Couro de Fedimian 
ITEM_20150401_004378	Armadura de Couro de Fedimian 
ITEM_20150401_004379	Luvas de Fedimian 
ITEM_20150401_004380	Caneleiras de Fedimian 
ITEM_20150401_004381	Calças de Fedimian 
ITEM_20150401_004382	Armadura de Fedimian 
ITEM_20150401_004383	Luvas de Mágico 
ITEM_20150401_004384	Botas de Mágico 
ITEM_20150401_004385	Calças de Mágico 
ITEM_20150401_004386	Túnica de Mágico 
ITEM_20150401_004387	Luvas de Caça 
ITEM_20150401_004388	Botas de Caça 
ITEM_20150401_004389	Calças de Caça 
ITEM_20150401_004390	Armadura de Caça 
ITEM_20150401_004391	Luvas de Guarda 
ITEM_20150401_004392	Caneleiras de Guarda 
ITEM_20150401_004393	Calças de Guarda 
ITEM_20150401_004394	Armadura de Guarda 
ITEM_20150401_004395	Luvas de Mago 
ITEM_20150401_004396	Botas de Mago 
ITEM_20150401_004397	Calças de Mago 
ITEM_20150401_004398	Túnica de Mago 
ITEM_20150401_004399	Luvas de Combatente 
ITEM_20150401_004400	Botas de Combatente 
ITEM_20150401_004401	Calças de Combatente 
ITEM_20150401_004402	Túnica de Combatente 
ITEM_20150401_004403	Luvas de Infantaria 
ITEM_20150401_004404	Caneleiras de Infantaria 
ITEM_20150401_004405	Calças de Infantaria 
ITEM_20150401_004406	Armadura de Infantaria 
ITEM_20150401_004407	Luvas de Arquimaga 
ITEM_20150401_004408	Botas de Arquimaga 
ITEM_20150401_004409	Calças de Arquimaga 
ITEM_20150401_004410	Túnica de Arquimaga 
ITEM_20150401_004411	Luvas de Combatente Superiores 
ITEM_20150401_004412	Botas de Combatente Superiores 
ITEM_20150401_004413	Calças de Combatente Superiores 
ITEM_20150401_004414	Túnica de Combatente Superior 
ITEM_20150401_004415	Luvas de Infantaria Superiores 
ITEM_20150401_004416	Caneleiras de Infantaria Superiores 
ITEM_20150401_004417	Calças de Infantaria Superiores 
ITEM_20150401_004418	Armadura de Infantaria Superior 
ITEM_20150401_004419	Luvas de Bibliotecário 
ITEM_20150401_004420	Botas de Bibliotecário 
ITEM_20150401_004421	Calças de Bibliotecário 
ITEM_20150401_004422	Túnica de Bibliotecário 
ITEM_20150401_004423	Luvas de Veterano 
ITEM_20150401_004424	Botas de Veterano 
ITEM_20150401_004425	Calças de Veterano 
ITEM_20150401_004426	Túnica de Veterano 
ITEM_20150401_004427	Luvas de Cavaleiro 
ITEM_20150401_004428	Caneleiras de Cavaleiro 
ITEM_20150401_004429	Calças de Cavaleiro 
ITEM_20150401_004430	Armadura de Cavaleiro 
ITEM_20150401_004431	Luvas de Grima Superiores 
ITEM_20150401_004432	Botas de Grima Superiores 
ITEM_20150401_004433	Calças de Grima Superiores 
ITEM_20150401_004434	Túnica de Grima Superiores
ITEM_20150401_004435	Luvas de Magnânimo 
ITEM_20150401_004436	Botas de Magnânimo 
ITEM_20150401_004437	Túnica de Magnânimo 
ITEM_20150401_004438	Botas Superiores 
ITEM_20150401_004439	Colar de Madeira de Ronesa 
ITEM_20150401_004440	Colar de Ferro de Ronesa 
ITEM_20150401_004441	Colar de Aço de Ronesa 
ITEM_20150401_004442	Talismã de Ronesa 
ITEM_20150401_004443	Gargantilha de Klaipeda de Ronesa 
ITEM_20150401_004444	Colar de Ritual 
ITEM_20150401_004445	Colar de Ritual Superior 
ITEM_20150401_004446	Pingente de Chave 
ITEM_20150401_004447	Pingente de Chave Superior 
ITEM_20150401_004448	Colar de Sábio 
ITEM_20150401_004449	Bracelete de Ronesa Leve 
ITEM_20150401_004450	Bracelete de Ronesa Superior 
ITEM_20150401_004451	Bracelete de Argola de Ronesa 
ITEM_20150401_004452	Bracelete Nobre de Ronesa 
ITEM_20150401_004453	Bracelete de Saúde Superior 
ITEM_20150401_004454	Bracelete Mágico Superior 
ITEM_20150401_004455	Bracelete de Precisão Superior 
ITEM_20150401_004456	Bracelete Superior Leve 
ITEM_20150401_004457	Bracelete de Klaipeda de Ronesa 
ITEM_20150401_004458	Bracelete Superior 
ITEM_20150401_004459	Bracelete de Joia 
ITEM_20150401_004460	Bracelete de Pérola 
ITEM_20150401_004461	Bracelete de Pérola Superior 
ITEM_20150401_004462	Bracelete de Ruma Superior 
ITEM_20150401_004463	Bracelete de Estrela 
ITEM_20150401_004464	Traje de Catafractário 
ITEM_20150401_004465	Traje de GM 
ITEM_20150401_004466	Coleção de Colar dos 5 Pecados 
ITEM_20150401_004467	Coleção de cinco colares, cada um com a inscrição de um dos 5 temas do caminho do peregrino. Feitos por Maven, o fundador da Grande Catedral. Você pode adicionar o item na janela de Coleção de NPC de Associação Mágica clicando com o botão direito. 
ITEM_20150401_004468	Casca Velha de Kepa  
ITEM_20150401_004469	Caule de Ridimed 
ITEM_20150401_004470	Tentáculo de Medusa 
ITEM_20150401_004471	Ferrão de Ferroada 
ITEM_20150401_004472	Caule de Griba 
ITEM_20150401_004473	Casca de Merme 
ITEM_20150401_004474	Seiva Refinada  
ITEM_20150401_004475	Caule de Assombração Arbórea 
ITEM_20150401_004476	Ossos de Lagartóxica 
ITEM_20150401_004477	Bico de Infra Hoglan 
ITEM_20150401_004478	$Couro de Patinho 
ITEM_20150401_004479	Asa de Kepa
ITEM_20150401_004480	Pele de Kepo 
ITEM_20150401_004481	Penugem de Kepo
ITEM_20150401_004482	Casca de Rondo 
ITEM_20150401_004483	Espinho de Kodomor 
ITEM_20150401_004484	Folha de Lomor 
ITEM_20150401_004485	Metal Vermelho 
ITEM_20150401_004486	Fragmento de Moya
ITEM_20150401_004487	Estame de Colimosca 
ITEM_20150401_004488	Fragmentos de Infernolem 
ITEM_20150401_004489	Caule de Infrassanguíneo  
ITEM_20150401_004490	Pelo de Chupaluka 
ITEM_20150401_004491	Cadáver de Peregrino Dallas 
ITEM_20150401_004492	Cristal Estelar Desbotado 
ITEM_20150401_004493	Cristal de brilho estelar misterioso. 
ITEM_20150401_004494	Cristal de Pedra Estelar 
ITEM_20150401_004495	Pedaço pequeno de Pedra Estelar que reage com outros pedaços do mesmo tipo de pedra. 
ITEM_20150401_004496	{memo X} 
ITEM_20150401_004497	{memo X} 
ITEM_20150401_004498	Explosivos 
ITEM_20150401_004499	Item de Masmorra 
ITEM_20150401_004500	{memo X}Explosivo usado por operários na construção da Fortaleza da Terra. Bastante inflamável. 
ITEM_20150401_004501	Frasco da Voz do Rei 
ITEM_20150401_004502	{memo X}Dizem que a voz do Rei poder ser ouvida nos quartéis dos Guardas de Túmulo. 
ITEM_20150401_004503	Pão Recém-Assado 
ITEM_20150401_004504	Pedaço de pão quente recebido de Marus. 
ITEM_20150401_004505	Pão Rançoso 
ITEM_20150401_004506	Pedaço de pão estragado. 
ITEM_20150401_004507	Pão Fresco 
ITEM_20150401_004508	Pedaço de pão ainda comestível. 
ITEM_20150401_004509	{memo X}Boneco mágico que Rimas deu para Arunas. Remove energias raras quando queimado em um círculo mágico. 
ITEM_20150401_004510	{memo X}Vara de Madeira 
ITEM_20150401_004511	{memo X} 
ITEM_20150401_004512	{memo X}Couro de Monstro 
ITEM_20150401_004513	{memo X}Material obtido dos monstros. Usado para fazer várias armas. 
ITEM_20150401_004514	Niole Arrancada
ITEM_20150401_004515	{memo X} 
ITEM_20150401_004516	{memo X}Pedaço de Asa de Dente de Leão Laranja 
ITEM_20150401_004517	{memo X}Pedaço da asa do Dente de Leão Laranja. Como não serve de lenha, vamos manter o fogo acesso. 
ITEM_20150401_004518	Fragmento de Cristal de Controle Mágico 
ITEM_20150401_004519	{memo X}Pode anular a magia quando usado em áreas de magia forte. 
ITEM_20150401_004520	Cristal Vermelho 
ITEM_20150401_004521	{memo X}Cristal que leva quem o estiver usando para lugares místicos. 
ITEM_20150406_004522	Marreta Superior 
ITEM_20150406_004523	{memo X}Regador 
ITEM_20150406_004524	Corneta 
ITEM_20150406_004525	Spray de Flor da Neve 
ITEM_20150406_004526	Detector de Metal 
ITEM_20150406_004527	Haltere 
ITEM_20150406_004528	Plástico Bolha 
ITEM_20150406_004529	Cristal de Purificação do Ar 
ITEM_20150406_004530	{memo X}Cristal obtido pelo refinamento de um Fragmento de Cristal. {nl}Pode ser usado para eliminar o gás no segundo Lote da Mina. 
ITEM_20150406_004531	{memo X}Cristal de Melhoria de Crescimento 
ITEM_20150406_004532	{memo X}Cristal obtido pelo refinamento de um Fragmento de Cristal. {nl}Pode ser usado para acelerar o crescimento. 
ITEM_20150406_004533	{memo X}Cristal de Sorte 
ITEM_20150406_004534	{memo X}Cristal obtido pelo refinamento de um Fragmento de Cristal. {nl}Pode ser usado para achar mais dinheiro. 
ITEM_20150406_004535	Cristal de Vida 
ITEM_20150406_004536	{memo X}Cristal obtido pelo refinamento de um Fragmento de Cristal. {nl}Pode ser usado para restaurar HP. 
ITEM_20150406_004537	Cristal de Serenidade 
ITEM_20150406_004538	{memo X}Cristal obtido pelo refinamento de um Fragmento de Cristal. {nl}Pode ser usado para restaurar MP. 
ITEM_20150406_004539	Cristal de Velocidade 
ITEM_20150406_004540	{memo X}Cristal obtido pelo refinamento de um Fragmento de Cristal. {nl}Pode ser usado para aumentar a velocidade de movimento. 
ITEM_20150406_004541	Pó de Cristal de Terreno 
ITEM_20150406_004542	Pó obtido pela trituração de um Fragmento de Cristal. {nl}Pode ser usado para detectar monstros no segundo Lote da Mina. 
ITEM_20150406_004543	{memo X}Cristal de Ressonância Vermelho 
ITEM_20150406_004544	{memo X}Cristal obtido pelo refinamento de um Fragmento de Cristal. {nl}Pode ser usado para localizar o cristal especial da segunda galeria do segundo Lote da Mina. 
ITEM_20150406_004545	{memo X}Cristal de Ressonância Azul 
ITEM_20150406_004546	{memo X}Cristal de Ressonância Amarelo 
ITEM_20150406_004547	{memo X}Anulador 
ITEM_20150406_004548	Antimagia 
ITEM_20150406_004549	Flecha Farpada 
ITEM_20150406_004550	Tem farpas. Adiciona efeito de um golpe. 
ITEM_20150406_004551	Fragmento de Cristal 
ITEM_20150406_004552	Pedaço de cristal que pode ser obtido no Lote 2 da Mina de Cristal. É possível conseguir um cristal especial ao pegar uma grande quantidade desses fragmentos.
ITEM_20150406_004553	Singijeon 
ITEM_20150406_004554	Flecha com um explosivo na ponta. 
ITEM_20150406_004555	Flecha Mágica 
ITEM_20150406_004556	Flecha com poderes mágicos. 
ITEM_20150406_004557	{memo X}Bomba experimental criada pelo Mestre Sapador. {nl}A distância de alcance pode ser controlada mantendo pressionada a tecla. 
ITEM_20150406_004558	Canino Afiado 
ITEM_20150406_004559	{memo X}Orbe que pode destruir encantamentos demoníacos. Você pode obter energia usando isso ao redor do Altar de Austeja. 
ITEM_20150406_004560	Símbolo de Hauberk
ITEM_20150406_004561	{memo X}Símbolo que Hauberk deu aos seus homens como símbolo de lealdade. 
ITEM_20150406_004562	Fragmento de Nuaele
ITEM_20150406_004563	{memo X}Pedaço de Nuaele usado para dominar monstros demoníacos. 
ITEM_20150406_004564	Recordação de Expedição
ITEM_20150406_004565	{memo X}Lembrança daqueles que foram brutalmente mortos pelos demônios. 
ITEM_20150406_004566	Líquido de Purificação Opaco  
ITEM_20150406_004567	Frasco entregue a você pelo Mago Rimas que afirma conter a força purificada dos monstros. 
ITEM_20150406_004568	Seiva Pegajosa  
ITEM_20150406_004569	Bolsa de Grãos 
ITEM_20150406_004570	{memo X}Bolsa com grãos recuperada dos monstros. Boa parte já foi comida. 
ITEM_20150406_004571	Bastão de Madeira 
ITEM_20150406_004572	{memo X}Bastão feito com madeira de cercas. Há planos de transformá-lo em arma. 
ITEM_20150406_004573	Couro Macio
ITEM_20150406_004574	{memo X}Pote para guardar o veneno de monstros. 
ITEM_20150406_004575	{memo X}Arado para lavrar a terra. Tem uma lâmina afiada. 
ITEM_20150406_004576	{memo X}Pá para remover ervas daninhas. Tem uma ponta afiada. 
ITEM_20150406_004577	{memo X}Equipamento agrícola para arar. Tem uma ponta afiada. 
ITEM_20150406_004578	{memo X}Equipamento agrícola para remover pedras. Funciona bem. 
ITEM_20150406_004579	{memo X}Equipamento agrícola para mexer a terra. Tem várias pontas afiadas. 
ITEM_20150406_004580	Carne Fresca 
ITEM_20150406_004581	Pedra Mágica da Benção 
ITEM_20150406_004582	$Pedaço da asa do Dente de Leão Laranja
ITEM_20150406_004583	{memo X}Asa do Dente de Leão Laranja. Parece ser inflamável. 
ITEM_20150406_004584	Material de Pesquisa de Varkis (1) 
ITEM_20150406_004585	{memo X}Material usado para pesquisa por Varkis 
ITEM_20150406_004586	Material de Pesquisa de Varkis (2) 
ITEM_20150406_004587	Material de Pesquisa de Varkis (3) 
ITEM_20150406_004588	Material de Pesquisa de Varkis (4) 
ITEM_20150406_004589	{memo X}Unha do pé de Lagartomem 
ITEM_20150406_004590	{memo X}Garras Afiadas de Lagartomem. Elly precisa delas. 
ITEM_20150406_004591	Secreção de Owo
ITEM_20150406_004592	{memo X}Secreção do corpo de Owo usada em rituais de purificação de Druidas. 
ITEM_20150406_004593	{memo X} 
ITEM_20150406_004594	{memo X}Folha de Owo 
ITEM_20150406_004595	{memo X}Folhas velhas grudadas em cima da Casca de Tama. Parecem estar entrelaçadas na casca. 
ITEM_20150406_004596	Raiz de Parreira Jovem 
ITEM_20150406_004597	{memo X}Raízes jovens encravadas embaixo das parreiras. 
ITEM_20150406_004598	Fragmento de Chifre de Toco d'Árvore
ITEM_20150406_004599	{memo X} 
ITEM_20150406_004600	{memo X}Vasilha de pedra cheia de água. A aura especial parece atrair monstros. 
ITEM_20150406_004601	{memo X}Focinho de Toupeira d'Árvore Rosa 
ITEM_20150406_004602	{memo X} 
ITEM_20150414_004603	Arco Antigo 
ITEM_20150414_004604	Besta de Precisão 
ITEM_20150414_004605	Martelo de Brinquedo 
ITEM_20150414_004606	Grande Spontoon 
ITEM_20150414_004607	Adaga (Perfurar) 
ITEM_20150414_004608	Faca Superior 
ITEM_20150414_004609	Adaga Punhal Superior 
ITEM_20150414_004610	Main Gauche Superior 
ITEM_20150414_004611	{memo X}Pistola (Tiro) 
ITEM_20150414_004612	Luvas de Algodão 
ITEM_20150414_004613	Botas de Algodão 
ITEM_20150414_004614	Calças de Algodão 
ITEM_20150414_004615	Túnica de Algodão 
ITEM_20150414_004616	{memo X}Não se deixe atingir propositalmente para testar essa Defesa Mágica de armadura. 
ITEM_20150414_004617	Luvas de Vigia 
ITEM_20150414_004618	{memo X}Equipamento usado por vigias. 
ITEM_20150414_004619	Botas de Vigia 
ITEM_20150414_004620	Calças de Vigia 
ITEM_20150414_004621	Túnica de Vigia 
ITEM_20150414_004622	Traje de Flautista 
ITEM_20150414_004623	Regador 
ITEM_20150414_004624	Detector 
ITEM_20150414_004625	Haltere de 5 Kg 
ITEM_20150414_004626	Você se sente melhor quando estoura as bolhas. 
ITEM_20150414_004627	Bandeira de Vencido 
ITEM_20150414_004628	Cogumelo com uma leve fragrância amadeirada. 
ITEM_20150414_004629	Pão Branco 
ITEM_20150414_004630	Pão branco macio. Fica mais gostoso com geleia. 
ITEM_20150414_004631	Alface 
ITEM_20150414_004632	Vegetal com textura crocante. 
ITEM_20150414_004633	Leite 
ITEM_20150414_004634	Leite fresco e revigorante. 
ITEM_20150414_004635	Casca de Infrapedraruga 
ITEM_20150414_004636	Casca resistente de padrão hexagonal. Obtida do Infrapedraruga. 
ITEM_20150414_004637	Antena de Yekubita 
ITEM_20150414_004638	Antena fina e pontuda. Obtida do Yekubita. 
ITEM_20150414_004639	Casca de Infraburk 
ITEM_20150414_004640	É fina, mas capaz de aguentar muito peso. Obtida do Infraburk. 
ITEM_20150414_004641	Casca de Infrapedraruga Vermelho 
ITEM_20150414_004642	Casca angular e bem resistente. {nl}Obtida do Infrapedraruga Vermelho. 
ITEM_20150414_004643	É possível obter de Desmodus. 
ITEM_20150414_004644	Filogipedra 
ITEM_20150414_004645	Uma pedra misteriosa imbuída com o poder do fogo. Pode ser comprada do Mestre Flecheiro. 
ITEM_20150414_004646	Osso de Infrapedraruga 
ITEM_20150414_004647	Ossos tão resistentes quanto a casca. Obtido do Infrapedraruga. 
ITEM_20150414_004648	Dentes de Yekubita 
ITEM_20150414_004649	Dentes propícios para dilacerar carne. Obtidos do Yekubita. 
ITEM_20150414_004650	Cristal de Yekubita 
ITEM_20150414_004651	Cristal que apenas cresce na cauda do Yekubita. Aumenta de tamanho conforme o monstro envelhece. Obtido do Yekubita. 
ITEM_20150414_004652	Osso de Infratitular
ITEM_20150414_004653	Obtido do Infratitular. 
ITEM_20150414_004654	Veneno 
ITEM_20150414_004655	Frasco de veneno com o qual se pode fazer um veneno poderoso. Pode ser comprado do Mestre Wugushi. 
ITEM_20150414_004656	Ferramentas de Acampamento 
ITEM_20150414_004657	Ferramentas necessárias para acampar. Podem ser compradas do Mestre Escudeiro. 
ITEM_20150414_004658	Pólvora 
ITEM_20150414_004659	Pó negro usado para fazer explosivos. Pode ser comprada do Mestre Flecheiro. 
ITEM_20150414_004660	Caule de Ashrong 
ITEM_20150414_004661	Cerne de Yognome Amarelo 
ITEM_20150414_004662	Cerne de Egnome Amarelo 
ITEM_20150414_004663	Cerne de Golem Górgona Amarelo 
ITEM_20150414_004664	Cifre de Moyabu 
ITEM_20150414_004665	Couro de Lemúria  
ITEM_20150414_004666	Ossos de Crocomem 
ITEM_20150414_004667	Casaca de Soqueto 
ITEM_20150414_004668	Garra de Toupeira 
ITEM_20150414_004669	Garra de Toupeira 
ITEM_20150414_004670	Couro de Luxodon 
ITEM_20150414_004671	Ossos de Lagartomem
ITEM_20150414_004672	Folha de Owo 
ITEM_20150414_004673	Tronco Curto 
ITEM_20150414_004674	Espinho de Cisto 
ITEM_20150414_004675	Coração de Melatinun 
ITEM_20150414_004676	Gota de Gribaru
ITEM_20150414_004677	Folha de Pelo de Siaulamb 
ITEM_20150414_004678	Máscara de Pendinmire 
ITEM_20150414_004679	Pelo de Levi 
ITEM_20150414_004680	Ferrão de Melfeijão 
ITEM_20150414_004681	Folha de Fan 
ITEM_20150414_004682	Ferrão de Melmeli 
ITEM_20150414_004683	Máscara de Siaulamb 
ITEM_20150414_004684	Tendão de Siaulamb Grande
ITEM_20150414_004685	Olho de Sangue 
ITEM_20150414_004686	Cristal de Moyabu 
ITEM_20150414_004687	{memo X}Couro de Crocomem 
ITEM_20150414_004688	Espinho de Trípede 
ITEM_20150414_004689	Cerne de Infrapedraruga Vermelho
ITEM_20150414_004690	{memo X}A fonte de energia que move o Infrarocharuga Vermelho. Grita, que não pode usar magia, precisa disso. 
ITEM_20150414_004691	{memo X}Pedaço de Carne de Kowak 
ITEM_20150414_004692	{memo X}Teco de carne obtido facilmente do Kowak. Inadequado para consumo humano. 
ITEM_20150414_004693	Broto geralmente encontrado em gramíneas silvestres da Rota do Demônio Faminto.  Comestível, mas não é muito saboroso.
