QUEST_20150317_000001	Por favor, selecione o usuario que precisa de uma atualizacao de quest.	퀘스트 수정이 필요한 유저를 선택해주세요.				GM
QUEST_20180208_007338	A caixa é decorada e contém uma carta escrita à mão.	상자 안에는 정성스럽게 잘 꾸며져 있고 그 속에서 편지지가 나왔다.				PC
QUEST_20180208_007339	Ela lê a carta lentamente.	그녀는 천천히 편지를 읽었다.				PC
QUEST_20180208_007340	O interior da caixa é decorada.	상자 안에는 정성스럽게 잘 꾸며져 있다.				PC
QUEST_20180208_007341	Laimutis é um velho amigo. Vivemos juntos por mais de 10 anos.{nl}Ele me ajudou um monte após o Medzio Diena.{nl}Não estaria viva se não fosse por ele.	라이무티스는 저와 오래된 친구에요. 10년 이상 서로 붙어 다니녀 가깝게 지냈죠.{nl}신수의 날이 왔을 때는 그의 도움이 없었다면 지금처럼 살 수 없었을거에요.				이오나
QUEST_20180208_007342	Isso é do Laimutis?{nl}Deixe-me ver...	이게 라이무티스의 유품이라고요?{nl}잠시 그의 유품을 확인할게요				이오나
QUEST_20180208_007343	Laimutis... Ele...{nl}Ele estava guardando estes sentimentos todo esse tempo...	라이무티스...{nl}그가 절 마음에 품고 있었다니..				이오나
QUEST_20180208_007344	Eu suspeitava, mas é muito triste confirmar isso desse jeito.{nl}Você disse que o espírito dele está rondando ainda?{nl}Acho que preciso falar com ele...	눈치는 채고 있었지만, 이렇게 그의 마음을 확인할 수 있다는 게 너무 안타까워요.{nl}라이무티스의 영혼이 아직 세상을 떠돌고 있다고 하셨죠?{nl}그의 마음에 대한 답을 할 필요가 있을거 같아요.				이오나
QUEST_20180208_007345	Por favor, traga Stonecrops, que simbolizam o amor de uma mulher,{nl}e algumas Statices para representar o amor eterno.{nl}Acho que por volta de 60 Stonecrops e 84 Statices.{nl}Você achará Stonecrops em Akmens Ridge e Statices em Cranto Coast.	소녀의 사랑이란 꽃말을 가진 기린초와 영원한 사랑을 뜻하는 스타티스를 구해주세요.{nl}넉넉하게 기린초는 60송이, 스타티스는 84송이를 구해주세요.				이오나
QUEST_20180208_007346	A última coisa que se é que o atual dono estava em Poslinkis Forest.{nl}Você deveria começar por lá.	호신부 소유주는 포슬린키스 숲에서 소식이 끊겼어요.{nl}그곳을 한번 찾아보세요.				레나
QUEST_20180208_007347	Sinto que não consigo mais escapar deste pesadelo,{nl}estou preso aqui para sempre.{nl}Por favor, me ajude!	이 악몽에서 벗어나고 싶어 발버둥 쳤지만, 이제는 완전히 갇혀버린거 같아요.{nl}제발 도와주세요.				에이만타스
QUEST_20180208_007348	Eu não me sentia assim das outras vezes.{nl}Antes, eu podia caminhar até a luz e sair do pesadelo.{nl}Mas agora... Não vejo mais a luz!	예전에는 이렇게 완전 악몽 속에서 빠져나오지 못할 정도는 아니였고 빛이 있는 곳을 향하면 악몽에서 깨어날 수 있었어요.{nl}하지만 지금은.. 제게 빛이 보이지 않아요.				에이만타스
QUEST_20180208_007349	Um espírito em Poslinkis Forest quer ver minha pequena Asana?{nl}Parece que Isala ainda não está no descanso eterno...	포슬린키스 숲에서 우리 아사나를 보고 싶어하는 여자 유령이 있다는 말이요?{nl}이살라가 차마 편안히 눈을 감지 못한 모양이군.				아리유스
QUEST_20180208_007350	Asana deve demorar um pouco.{nl}Você pode retornar mais tarde, não precisa ficar esperando.{nl}Vou falar com ela sobre o assunto.	아사나는 멀리 나가서 돌아오려면 시간이 좀 걸릴 것 같으니 여기서 기다리지 말고 볼일 보고 오시오.{nl}내가 잘 이야기 해보리다.				아리유스
QUEST_20180208_007351	Quero responder Laimutis com Stonecrops,{nl}que simbolizam o amor de uma mulher,{nl}e algumas Statices que representam amor eterno.	소녀의 사랑이란 꽃말을 가진 기린초와 영원한 사랑을 뜻하는 스타티스로 라이무티스의 마음에 대한 답을 하려고 해요.				이오나
QUEST_20180208_007352	{nl}Vou precisar de umas 60 Stonecrops, de Akmens Ridge,{nl}e 84 Statices de Cranto Coast.	{nl}넉넉하게 기린초는 60송이, 스타티스는 84송이를 구해주세요.				이오나
QUEST_20180208_007353	Você trouxe as flores!{nl}Só um momento.	기린초와 스타티스를 구해오셨네요.{nl}잠시만요.				이오나
QUEST_20180208_007354	Aqui.{nl}Espero que minha mensagem chege até ele através destas flores.	여기 있어요.{nl}부디 이것으로 그에게 제 마음이 전달되면 좋겠네요.				이오나
QUEST_20180208_007355	Espero que ele possa finalmente descansar ao lado das Deusas.	제 마음이 그에게 전달되어 그가 편안히 여신의 곁으로 갔으면 좋겠네요.				이오나
QUEST_20180208_007356	A sensação misteriosa passa e tudo fica mais confortável.	오싹함이 조금씩 사라지면서 편안함이 느껴진다.				PC
QUEST_20180208_007357	Espírito Desconhecido	정체불명의 영혼				
QUEST_20180208_007358	Estranho. Olá.{nl}Somos os mentores de Khanom.{nl}Estamos sempre ao seu lado, protegendo sua fortuna e sabedoria.	낯선 이여.{nl}우린 카놈의 스승들이네.{nl}우린 그 아이의 무운과 지혜와 곧은 정신을 위해서 죽어서도 그 아이 곁에 있었지.				정체불명의 영혼
QUEST_20180208_007359	Até que, um dia, fomos separados dele.{nl}Precisamos retornar para Khanom.{nl}Entramos nos sonhos dos que seguraram o amuleto e imploramos para retorná-lo.	하지만 어떤 계기로 그 아이와 떨어지고 말았네.{nl}우린 카놈에게 돌아가고자 하는 염원에 우리를 소유하고 있는 이들의 꿈 속에 나타나 제자에게 호신부를 돌려달라고 요청했지.				정체불명의 영혼
QUEST_20180208_007360	Mas todos tinham medo.{nlAlguns se desfizeram do amuleto, outros acabaram vendendo ele.{nl}Nossas vozes não eram ouvidas.	허나 그들은 우리를 두려워 한 끝에 버리거나 다른 사람에게 팔았네.{nl}그들에게 우리의 염원이 닿지 않은 게지.				정체불명의 영혼
QUEST_20180208_007361	Após passar por vários donos, o passar do{nl}tempo fez outras presenças controlarem o amuleto.{nl}Eram os fantasmas que você viu.	그렇게 우린 여러 이들의 손을 거치고 시간이 흐르자 우리들의 염원이 다른 이에게도 영향을 미치게 됐지.{nl}자네가 봤던 유령들을 불러 들이게 된 걸세.				정체불명의 영혼
QUEST_20180208_007362	Os fantasmas diminuiram nossas vozes ainda mais.{nl}Eram eles que fizeram o jovem Eimantas cair em um pesadelo profundo.{nl}Graças à você seus pedidos foram atendidos, então aqui estamos nós.{nl}Os espíritos que você liberou agora poderão serem guiados pelas Kupoles{nl}para o descanso eterno. Não precisam mais se preocupar com nada.	그렇게 유령들 때문에 더욱 우리들의 소리는 전달되지 않았고, 에이만타스라는 젊은이는 지독한 악몽에 빠지게 되었네.{nl}하지만 자네 덕분에 그들의 바람이 하나씩 이뤄져 이렇게 우리와 닿을 수 있게 된 거네.{nl}그리고 자네가 한을 풀어준 영혼들은 이제라도 모두 선한 큐폴님들의 인도를 받아 안식을 취할 수 있을 걸세. 그들을 걱정할 필요가 없네.				정체불명의 영혼
QUEST_20180208_007363	Por favor, pegue o amuleto de Eimantas.{nl}Garanta que ele chegue até nosso estudante Khanom novamente.{nl}Ele deve estar treinando em Tenet Garden.	에이만타스라는 젊은이에게 우리가 깃들어 있는 호신부를 받게.{nl}그리고 그것을 우리의 제자인 카놈에게 전달하게.				정체불명의 영혼
QUEST_20180208_007364	O amuleto irá brilhar quando você chegar perto de Khanom.	카놈과 가까워지면 호신부가 빛 날 걸세.				정체불명의 영혼
QUEST_20180208_007365	Por favor, nos leve até Khanom.{nl}Ele deve estar treinando em Tenet Garden.	우리를 카놈에게 데려다주게.				정체불명의 영혼
QUEST_20180208_007366	Eu quero retornar para Khanom e descansar em paz.	이제 카놈에게 돌아가 편히 쉬고 싶을 뿐이네.				정체불명의 영혼
QUEST_20180208_007367	Entendo.{nl}O amuleto precisa voltar para seu dono.	그런 일이 있었군요.{nl}그럼 어서 주인에게 되돌아가야겠죠.				에이만타스
QUEST_20180208_007368	Aqui. Leve o amuleto até ele.	여기 있습니다. 어서 그에게 전달해주세요.				에이만타스
QUEST_20180208_007369	Estou livre do pesadelo.{nl}Se não fosse por você, eu ainda estaria preso nele.	악몽에서 깨어났어요.{nl}당신이 아니였다면 저는 악몽 속에 떠돌아 다녔을 거에요.				에이만타스
QUEST_20180208_007370	O amuleto está mostrando uma reação muito forte.{nl}Esta deve ser a área certa.	호신부가 강렬하게 반응을 하고 있다.{nl}이 지역을 자세히 찾아보자.				PC
QUEST_20180208_007371	O amuleto está mostrando uma reação forte.{nl}A área deve estar próxima.	호신부가 강하게 반응을 하고 있다.{nl}근처 지역에 있는 것 같다.				PC
QUEST_20180208_007372	O amuleto está reagindo.	호신부가 반응을 하고 있다.				PC
QUEST_20180208_007373	O amuleto está começando a reagir.	호신부에 미세하게 반응이 있다.				PC
QUEST_20180208_007374	O amuleto não mostra nenhuma reação.{nl}A área deve estar longe.	호신부에 반응이 없다.{nl}너무 멀리 떨어져 있는 것 같다.				낙무아이 마스터
QUEST_20180208_007375	Mestre Nak Muay	낙무아이 마스터				
QUEST_20180208_007376	Sinto a energia de meus antigos mentores em você.	당신에게서 옛 스승님의 기운이 느껴지는 군요.				낙무아이 마스터
QUEST_20180208_007377	Você encontrou o amuleto?{nl}Onde está?	호신부를 찾으셨다고요?{nl}호신부는 어디 있습니까?				낙무아이 마스터
QUEST_20180208_007378	O amuleto é algo muito precioso para mim.	호신부는 제게 정말 중요한 물건입니다.				낙무아이 마스터
QUEST_20180208_007379	Muito obrigado por trazê-lo de volta.{nl}Nem todos os Nak Muays conseguem se comunicar com os espíritos do amuleto.{nl}Você deve ser muito talentoso.	호신부를 되찾아주셔서 감사합니다.{nl}호신부에 깃든 스승님의 영혼과 소통을 할 줄 아는 것은 대다수의 낙무아이들도 하기 어려운 일인데, 보통 분이 아니시군요.				낙무아이 마스터
QUEST_20180208_007380	Eu descansei por um momento, então senti um frio repentino.{nl}Vi uma tumba com os meus olhos...{nl}Viajante, o que está acontecendo?	잠깐 피곤함에 눈이 감겼는데, 금세 주위가 추워졌어요.{nl}그런데 눈 앞에 묘가 생기고...{nl}여행자님. 이게 어떻게 된 일이죠?				아사나
QUEST_20180208_007381	Estas lápides todas pertencem à espíritos, você diz?{nl}Onde está a minha mãe?	여기 있는 묘들이 다 영혼들이 잠들어 있는 묘들이란 말이죠?{nl}저희 어머니는 어디계시죠?				아사나
QUEST_20180208_007382	Fedimian é mais do que só cerâmica. Você pode achar relíquias pela cidade.	페디미안은 도자기 뿐만 아닌 도시 주변에 재미난 유적들이 많습니다.				경비병
QUEST_20180208_007383	Você pode voltar mais tarde, viajante. Direi para Asana sobre Isala.	아사나가 오거든 내가 이살라에 대해 이야기를 할테니 자네는 볼 일 보고 돌아 오게나.				아리유스
QUEST_20180208_007384	Falei para Asana sobre o espírito.{nl}Ela sempre foi muito curiosa sobre sua mãe.{nl}Partiu o coração dela saber que ela não tinha descansado ainda.	아사나와 이야기했네.{nl}평소 엄마에 대해서 궁금해 하던 아이라 자기 어미의 영혼이 세상을 떠돈 말에 크게 슬퍼했네.				아리유스
QUEST_20180208_007385	Ela insiste em ver o espírito sozinha.	직접 보러 가겠다는데 도저히 말릴 수 없어서 그러라고 했네.				아리유스
QUEST_20180208_007386	Aparentemente, o amuleto é muito especial para o Mestre Nak Muay.{nl}Nós nunca vimos ele, na verdade. Só sabemos do amuleto por causa do quadro de avisos.	호신부는 낙무아이 마스터에게는 중요한 물건이라고 하더군요.{nl}그렇지만 저희 경비병들은 낙무아이 마스터는 뵙지도 못했고, 호신부도 게시판을 통해서 알게 됐어요.				경비병 리퍼
QUEST_20180208_007387	Um mercador de acessórios deve saber mais.	악세서리 상인들이라면 잘 알지 않을까요?				경비병 리퍼
QUEST_20180208_007388	Coletado Stonecrops suficientes.	기린초를 충분히 모은 것 같다				PC
QUEST_20180208_007389	Coletado Statices suficientes.	스타티스를 충분히 모은 것 같다				PC
QUEST_20180208_007390	Há mais espíritos vindo da lápide.	이 묘지에서는 더 이상 유령이 나오지 않는다.				PC
QUEST_20180208_007391	Colocado o Strawberry Cupcake no altar.	딸기 과자를 제단에 올려 놓았다.				PC
QUEST_20180208_007392	Chamou Asana para o altar.	아사나를 제단 근처로 불러들렸다.				PC
QUEST_20180208_007393	Colocado o medicamento no altar.	약을 제단에 올려 놓았다.				PC
QUEST_20180208_007394	Colocado a escultura no altar.	집 조각상을 제단에 올려 놓았다.				PC
QUEST_20180208_007395	Colocado a Iona's Box no altar.	이오나에게서 받은 상자를 제단에 올려 놓았다.				PC
QUEST_20180208_007396	Coletado Red Meduja Essences suficientes.	붉은 미듀쟈의 정수를 충분히 모았다.				PC
QUEST_20180208_007397	Coletado Ellom Bells suficientes.	영롱한 엘룸의 방울을 충분히 모았다.				PC
QUEST_20180208_007398	Você pode perguntar cinco perguntas para Neringa.{nl}Você vai só perguntar as que eu já sei.{nl}	당신은 저 네링가에게 다섯 가지 질문을 하실 수 있습니다.{nl}당신이 물어볼 이야기는 정해져 있습니다.{nl}	QUEST_20171128_006623	Você pode fazer cinco perguntas para Neringa.{nl}Você só pode perguntar aquilo que você sabe.{nl}Neringa deve responder conforme a vontade da Deusa Laima.	당신은 저 네링가에게 다섯가지 질문을 하실 수 있습니다.{nl}당신이 물어볼 이야기는 정해져 있습니다.{nl}저 네링가는 라이마 여신이 뜻하신 대로 당신께 대답해야 합니다.	네링가
QUEST_20180208_007399	Neringa deve responder você, pois é o desejo da Deusa Laima.	저 네링가는 라이마 여신이 뜻하신 대로 당신께 대답해야 합니다.				네링가
QUEST_20180208_007400	Deusa Vaivora e Demon Goddess Giltine viraram inimigas{nl}após um icidente no passado. Foi um incidente trágico{nl}que revelou as intenções malignas de Giltine.{nl}	바이보라 여신은 과거의 사건으로부터 마신 길티네와 적대적 관계가 되었습니다.{nl}또한 바이보라 여신은 과거의 사건으로부터 마신 길티네의 목적을 유추하셨습니다.{nl}	QUEST_20171128_006625	Deusa Vaivora e Demon Goddess Giltine viraram inimigas depois de um incidente.{nl}Foi algo trágico, que ascendeu uma luz nas intenções malignas de Giltine.{nl}Deusa Vaivora então jurou banir Giltine para uma outra dimensão.	바이보라 여신은 과거의 사건으로부터 마신 길티네와 적대적 관계가 되었습니다.{nl}바이보라 여신은 과거의 사건으로부터 마신 길티네의 목적을 유추하셨습니다.{nl}이에 여신께선 마신 길티네를 이계의 차원에 영원히 봉인하실 생각입니다.	네링가
QUEST_20180208_007401	Deusa Vaivora jurou banir Giltine para outra dimensão.{nl}Vaivora acusa Giltine de todo o mal.{nl}	이에 여신께선 마신 길티네를 이계의 차원에 영원히 봉인하실 생각입니다.{nl}바이보라 여신은 모든 원흉을 마신 길티네로 지목하셨습니다.{nl}	QUEST_20171128_006626	Vaivora acusa Giltine de todo o mal.{nl}Ela acredita que tudo será resolvido se Giltine for isolada de nosso mundo.{nl}Porém, Deusa Laima prevê algo muito diferente.	바이보라 여신은 모든 원흉을 마신 길티네로 지목하셨습니다.{nl}그리하여 길티네를 이 세계와 분리시키면 모든 문제가 해결 될거라 생각하십니다.{nl}하지만 그 것은 라이마 여신의 예지와 다릅니다.	네링가
QUEST_20180208_007402	Ela acredita que tudo se resolverá se Giltine ficar isolada de nosso mundo.{nl}	그리하여 길티네를 이 세계와 분리시키면 모든 문제가 해결될 거라 생각하십니다.{nl}	QUEST_20171128_006627	É plano de Deusa Vaivora usar a Revelação para atrair Giltine para outro mundo.{nl}Em conjunto, devemos impedir o sucesso do plano de Vaivora.{nl}Você precisa permitir que Demon Goddess Giltine obtenha a Revelação.	바이보라 여신은 계시를 미끼로 길티네를 이 세계에서 제거하려 하십니다.{nl}당신은 저 네링가와 함께 바이보라 여신의 계획을 빗나가게 만들어야 합니다.{nl} 그리하여 마신 길티네가 무사히 계시를 취득할 수 있도록 해야합니다.	네링가
QUEST_20180208_007403	Porém, Deusa Laima previu algo muito diferente.{nl}Isso é plano de Vaivora usar a Revelação para atrair Giltine{nl}para fora de nosso mundo.{nl}	하지만 그것은 라이마 여신의 예지와 다릅니다.{nl}바이보라 여신은 계시를 미끼로 길티네를 이 세계에서 제거하려 하십니다.{nl}				네링가
QUEST_20180208_007404	Juntos, devemos evitar que o plano de Vaivora funcione.{nl}Você deve permitir Demon Goddes Giltine conseguir a Revelação.	당신은 저 네링가와 함께 바이보라 여신의 계획을 빗나가게 만들어야 합니다.{nl}그리하여 마신 길티네가 무사히 계시를 취득할 수 있도록 해야 합니다.				네링가
QUEST_20180208_007405	Neringa veio aqui por ordem de sua mestre, Deusa Laima.{nl}	저 네링가는 제 주인이신 라이마 여신의 명령에 따라 이곳에 왔습니다.{nl}	QUEST_20171128_006628	Neringa veio até aqui seguindo as ordens de sua mestre, Deusa Laima.{nl}Laima acredita que você pode realizar uma missão para a Deusa.{nl}Para tanto, a missão de Neringa é assistir você e realizar a profecia da Deusa.	저 네링가는 제 주인이신 라이마 여신의 명령에 따라 이 곳에 왔습니다.{nl}라이마 여신은 당신만이 이 일을 저 네링가와 함께 할 수 있다고 말하셨습니다.{nl}그렇기에 저 네링가는 당신을 신뢰하며 당신이 여신의 예지를 실현할 수 있도록 도울 것 입니다.	네링가
QUEST_20180208_007406	Laima está certa que você poderá completar esta missão.{nl}Assim sendo, é dever de Neringa assistir para realizar a profecia da Deusa.	라이마 여신은 당신만이 이 일을 저 네링가와 함께 할 수 있다고 말씀하셨습니다.{nl}그렇기에 저 네링가는 당신을 신뢰하며 당신이 여신의 예지를 실현할 수 있도록 도울 것입니다.				네링가
QUEST_20180208_007407	Beholder avisou Giltine que a Revelação está escondida na Fantasy Library.{nl}Mas Ela sabe que, se tentar entrar na biblioteca, cairá na armadilha de Vaivora.{nl}	마신 길티네는 주시자로부터 환상도서관에 계시가 숨겨져 있음을 보고 받았습니다.{nl}길티네는 자신이 직접 환상도서관에 침략하면 바이보라 여신이 함정을 만들 것을 알고 있습니다.{nl}	QUEST_20171128_006629	Beholder informou a Demon Goddess que a Revelação está escondida na Fantasy Library.{nl}Giltine sabe que, se ela tentar adentrar a Library, cairá na armadilha de Vaivora.{nl}Ela desconfia do grande plano de Vaivora desde o incidente que você desconhece.{nl}Ela deve até ter certeza disso agora.	마신 길티네는 주시자로부터 환상도서관에 계시가 숨겨져있음을 보고 받았습니다.{nl}길티네는 자신이 직접 환상도서관에 침략하면 바이보라 여신이 함정을 만들 것을 알고 있습니다.{nl}마신 길티네는 당신이 모르는 과거의 사건으로부터 바이보라 여신의 계획을 유추할 수 있습니다.{nl}아니, 어쩌면 알고 계실 수도 있겠군요.	네링가
QUEST_20180208_007408	Ela desconfia que Vaivora tramou algo desde o incidente que você desconhece.{nl}Hoje Ela já deve ter certeza do plano.{nl}	마신 길티네는 당신이 모르는 과거의 사건으로부터 바이보라 여신의 계획을 유추할 수 있습니다.{nl}아니, 어쩌면 알고 계실 수도 있겠군요.{nl}	QUEST_20171128_006630	Giltine vai enganar Deusa Vaivora e enviar seu servente para a armadilha.{nl}Porém, Vaivora se preparou para o truque de Giltine, que deve cair na armadilha dela. {nl}Quando acontecer, você precisa ajudar Giltine a escapar da armadilha de Vaivora.	길티네는 바이보라 여신을 비웃으며 그 함정에 자신의 부하를 내보낼 것 입니다.{nl}하지만 바이보라 여신은 만반의 준비를 하고 있고 길티네는 결국 함정에 빠질 것 입니다.{nl}당신은 길티네가 무사히 함정을 빠져나갈 수 있도록 저 네링가와 함께 행동해야 합니다.	네링가
QUEST_20180208_007409	Giltine enganará Deusa Vaivora e enviará servos para a armadilha.{nl}Porém, Vaivora estará preparada para o truque de Giltine,{nl}e Giltine cairá ela mesma na armadilha.{nl}	길티네는 바이보라 여신을 비웃으며 그 함정에 자신의 부하를 내보낼 것 입니다.{nl}하지만 바이보라 여신은 만반의 준비를 하고 있고 길티네는 결국 함정에 빠질 것입니다.{nl}				네링가
QUEST_20180208_007410	Quando acontecer, ajude Giltine a escapar da armadilha de Vaivora.	당신은 길티네가 무사히 함정을 빠져나갈 수 있도록 저 네링가와 함께 행동해야 합니다.				네링가
QUEST_20180208_007411	Fui ingênua em achar que Vaivora desistiria...{nl}Ajudantezinha de Laima, és tu?{nl}	바이보라가 포기했다고 생각했다만..{nl}너는 라이마의 아이구나.{nl}	QUEST_20171128_006631	Fui infantil em achar que Vaivora iria desistir...	바이보라가 포기했다고 생각했다만..	마신 길티네
QUEST_20180208_007412	Pensastes que poderia me desafiar como tua mestre.{nl}Onde ela está agora para rezar por tuas vidas miseráveis?{nl}	너도 네 주인처럼 내게 대항할 생각이구나.{nl}라이마가 너의 목숨은 점지해주지 않았나 보군?{nl}	QUEST_20171128_006632	Você é um serviçal de Laima, não é?{nl}Acha mesmo que me desafia, como a sua Mestre{nl}Onde ela está, para orar por vidas tão miseráveis?	너는 라이마의 아이구나.{nl}너도 네 주인처럼 내게 대항할 생각이구나.{nl}라이마가 너희의 목숨은 점지해주지 않았나보군?	마신 길티네
QUEST_20180208_007413	Continue, impeça-me.{nl}Adorarei ver tua tentativa.	마음껏 방해해 보아라.{nl}결국, 아무것도 못 하겠지만.	QUEST_20171128_006633	Continue, me impeça.{nl}Adoraria ver você tentar.	마음껏 방해해 보아라.{nl}결국 아무것도 못 하겠지만.	마신 길티네
QUEST_20180208_007414	Então você está ajudando Vaivora agora...{nl}Devo dizer, você é insistente.{nl}Diga-me quem trouxe você aqui?	이번엔 바이보라 곁에 서셨군.. 애쓰는 모습이 여전하구나.{nl}누가 널 이곳으로 인도했느냐.{nl}	QUEST_20171128_006634	Então, você está do lado de Vaivora agora...{nl}Devo dizer, você é bem insistente.{nl}Me diga, quem mandou você até aqui?	이번엔 바이보라 곁에 서셨군..{nl}애쓰는 모습이 여전하구나.{nl}누가 널 이 곳으로 인도했느냐.	주시자
QUEST_20180208_007415	Estou avisando.{nl}Se cruzar meu caminho com algum truquezinho eu juro...{nl}Vou enviar você para as Deusas de uma vez por todas!	여신에 대한 알량한 충성심으로 내 일을 방해하면.. 이번에야말로 여신 곁으로 보내주마.	QUEST_20171128_006635	Estou avisando. Fique no meu caminho com seus truques e eu prometo...{nl}Envio você até a Deusa para a eternidade.	여신에 대한 알량한 충성심으로 내 일을 방해하면..{nl}이번에야 말로 여신 곁으로 보내주마	주시자
QUEST_20180208_007416	Isso não vai acontecer. Fique tranquilo.{nl}Esta pessoa está aqui para me acompanhar em minha tarefa.	그렇게는 안 될 겁니다, 주시자여.{nl}이 분은 저와 함께 해야 할 일이 있습니다.	QUEST_20171128_006636	Isso não vai acontecer.{nl}Tenha certeza...	그렇게는 안 될 겁니다.{nl}주시자여..	네링가
QUEST_20180208_007417	Neringa! O que está fazendo aqui? Não estava...{nl}Ah, claro. Está aqui para se gabar de como tudo isso é{nl}uma armadilha brilhante criada por você.	네링가! 어째서 네가 여기에 있는 거지? 넌 분명 그때..{nl}그래, 이게 모두 네가 꾸민 함정이라고 자랑하려고 나타나셨나?	QUEST_20171128_006638	Neringa!	네링가!	주시자
QUEST_20180208_007418	Neringa é diferente de você.{nl}Beholder, você já fez sua parte.{nl}Logo você partirá.	저 네링가는 당신과 다릅니다. 주시자 당신은 이곳에서 해야 할 역할이 더는 없습니다.{nl}당신은 곧 떠나게 될 겁니다.	QUEST_20171128_006641	Neringa é diferente de você.	저 네링가는 당신과 다릅니다.	네링가
QUEST_20180208_007419	Arrogante como sempre...{nl}Não sei o que você e a sua Deusa viram, mas não poderão impedir Giltine.{nl}Para uma Deusa clarividente, Ela é terrível em prever o quão inútil você é!{nl}Hahahahah!	여전히 거만하구나, 네링가.. 너와 네 여신이 무엇을 보았건 이제 길티네 님을 막을 수 없다.{nl}여신이 너희의 무능함은 예지해주지 않았나 보군, 하하하!	QUEST_20171128_006643	Arrogante como sempre...{nl}Não sei o que você e a sua Deusa viram, mas não poderão impedir Giltine.	여전히 거만하구나, 네링가..{nl}너와 네 여신이 무엇을 보았건 이제 길티네님을 막을 수 없다.	주시자
QUEST_20180208_007420	O que precisa acontecer vai acontecer.{nl}Beholder, você já fez a sua parte.{nl}Já pode ir.	일어나야 할 일은 일어날 겁니다. 주시자, 당신은 해야 할 일을 다 했습니다.{nl}이제 돌아가십시오.	QUEST_20171128_006645	O que precisa acontecer irá acontecer.{nl}Beholder, você já realizou a sua parte.{nl}Você já pode ir agora.	일어나야할 일은 일어날 겁니다.{nl}주시자 당신은 해야할 일을 다 했습니다.{nl}이제 돌아가십시오.	네링가
QUEST_20180208_007421	Você e a sua Deusa ficarão bem desapondados... Espere e verá.{nl}E você, humano. Nem pense em colocar seu nariz em nossos negócios.{nl}Este não é o seu mundo, entendeu?	너와 네 여신의 뜻대로 되지 않을 것이다.. 두고 보아라.{nl}그리고 인간. 더 깊게 간섭하려 하지 마라. 네 녀석들이 움직일 수 있는 세상이 아니다.	QUEST_20171128_006646	Você e a sua Deusa ficarão bem desapontadas...{nl}Aguarde e verá.	너와 네 여신의 뜻대로 되지 않을 것이다..{nl}두고보아라.	주시자
QUEST_20180208_007422	Finalmente... Hoje, removerei as sombras sobre nós.{nl}Que esta seja a última vez que nosso mundo veja Giltine.{nl}	그대의 도움으로 온 세상에 드리운 그림자를.. 오늘 드디어 걷어낼 수 있게 되었습니다.{nl}이 세계에서 마신 길티네의 마지막 모습을 잘 보아 두십시오.{nl}				여신 바이보라
QUEST_20180208_007423	Ela está vindo. Iniciar.	그녀가 온다. 시작하라.				여신 바이보라
QUEST_20180208_007424	O que... O que aconteceu?{nl}	이게.. 어떻게 된 일이지?{nl}				여신 바이보라
QUEST_20180208_007425	Giltine escapou de minha armadilha?!{nl}Onde ela estará agora?{nl}	설마 길티네가 함정을 간파한 것인가!{nl}그녀는 지금 어디에 있지?{nl}				여신 바이보라
QUEST_20180208_007426	Giltine não pode ter escapado.{nl}Preciso encontrá-la!{nl}	..이럴 수가.. ..아직 빠져나가지 못했을 것이다.{nl}길티네를 찾아야 한다!{nl}				여신 바이보라
QUEST_20180208_007427	Devo pedir tua ajuda mais uma vez.{nl}Preciso encontrar Giltine.{nl}	그대에게 다시 부탁드립니다.{nl}저는 길티네를 추적해야 합니다.{nl}				여신 바이보라
QUEST_20180208_007428	Por favor, não posso permitir que ela roube nossos registros.	그대가 저 조무래기에게 기록을 되찾아 주십시오.{nl}부탁드립니다!				여신 바이보라
QUEST_20180208_007429	Eu e as Kupoles preparamos o mais seguro selo para prender Giltine.{nl}Porém, ela descobriu meus planos e enviou um de seus servos.{nl}	저와 큐폴들은 가장 강력한 봉인을 준비했습니다.{nl}하지만 길티네는 그걸 간파하고 자신의 부하를 보냈지요.{nl}				여신 바이보라
QUEST_20180208_007430	Mas não posso deixar que Ela escape.{nl}Giltine está atrás da Revelação que Laima escondeu em Valandis Room 91.{nl}	급하게 준비했지만 이곳에서 길티네를 가둘 수 있습니다.{nl}길티네는 라이마가 발란디스 91관에 숨긴 계시의 석판을 강탈하려 합니다.{nl}				여신 바이보라
QUEST_20180208_007431	Quando ela entrar no local, ativaremos o selo.{nl}O selo irá imprisionar Giltine e a Revelação para sempre.	그녀가 계시에 한눈판 사이에 우린 이곳에서 붕괴장치를 사용할 것입니다.{nl}계시와 함께 길티네를 영원히 붕괴된 발란디스 91관에 가둬버리는 것이지요.				여신 바이보라
QUEST_20180208_007432	Conseques compreender?{nl}	인간이여, 생각해 보십시오.{nl}				여신 바이보라
QUEST_20180208_007433	Com Giltine ausente, não haverá razões para tu coletares as Revelações.{nl}Humanos estarão livres do perigo dos demônios,{nl}e nós Deusas retornaremos para nosso devidos locais.	길티네가 이 세계에서 사라지면 그대는 더는 계시를 모을 필요가 없습니다.{nl}인간들은 마족들의 위협에서 벗어나 제 고향을 찾아갈 것이고 여신들은 제 자리를 되찾을 겁니다.				여신 바이보라
QUEST_20180208_007434	Vários registros diferenciados são mantidos em Valandis Room 91.{nl}	발란디스 91관은 분류되지 않은 기록들이 모이는 곳입니다.{nl}				여신 바이보라
