QUEST_LV_0100_20150317_000001	$Sentinela
QUEST_LV_0100_20150317_005589	$Derrote os monstros próximos e obtenha Mediador de Variação
QUEST_LV_0100_20150317_005590	$Estranha Peluda precisa de mais Mediadores de Variação para derrotar monstros de forma eficiente. Obtenha Mediador de Variação de monstros próximos.
QUEST_LV_0100_20150317_005591	$Entregue os Mediadores de Variação da Estranha Peluda
QUEST_LV_0100_20150317_005592	$Coletou todos os Mediadores de Variação necessários. Entregue-os à Estranha Peluda.
QUEST_LV_0100_20150317_005593	$Estranha Peluda parece ter mais favores a pedir. Fale com ela novamente.
QUEST_LV_0100_20150317_005594	$Derrote monstros e obtenha Cristal Negro Reforçado
QUEST_LV_0100_20150317_005595	{memo X}Estranha Peluda disse para encontrá-la na Sala das Máquinas 1 e trazer o cristal reforçado com você. Obtenha os cristais com os monstros próximos.
QUEST_LV_0100_20150317_005596	{memo X}Encontre a Estranha Peluda na frente da Sala das Máquinas 1
QUEST_LV_0100_20150317_005597	{memo X}Obteve os cristais reforçados. Encontre-se com Estranha Peluda na Sala das Máquinas 1.
QUEST_LV_0100_20150317_005598	$Encontrou Estranha Peluda perto da Sala das Máquinas. Fale com ela.
QUEST_LV_0100_20150317_005599	$Derrote Yonazolem
QUEST_LV_0100_20150317_005600	$Estranha Peluda diz que viu um Yonazolem dentro da sala das máquinas. Derrote o Yonazolem enquanto Estranha Peluda bloqueia os monstros na entrada.
QUEST_LV_0100_20150317_005601	$Derrotou Yonazolem. Volte à Peluda Estranha.
QUEST_LV_0100_20150317_005602	$Há uma Pedra Lacrada perto do Dispositivo de Estabilização de Magia. Fale com ela.
QUEST_LV_0100_20150317_005603	$A Pedra Selada pediu para você derrotar os monstros próximos para que ela possa ser libertada. O que acontecerá quando todas forem liberadas? Primeiro, derrote os monstros como a Pedra pediu.
QUEST_LV_0100_20150317_005604	$Complete o favor para a Pedra Lacrada. Liberte a alma.
QUEST_LV_0100_20150317_005605	$Encontre a Pedra Lacrada
QUEST_LV_0100_20150317_005606	$Há uma Pedra Lacrada na 2a Sala das Máquinas. Fale com ela.
QUEST_LV_0100_20150317_005607	$Derrotou os monstros ao redor. Vá até a Pedra e liberte a alma possuída.
QUEST_LV_0100_20150317_005608	$Fale com Simon Shaw
QUEST_LV_0100_20150317_005609	$Há um mago cavalheiro bem vestido lutando contra os monstros. Fale com Simon Shaw.
QUEST_LV_0100_20150317_005610	$Derrote o Drake Negro e recupere os Encantamentos de Chama
QUEST_LV_0100_20150317_005611	$Simon Shaw está fazendo seu melhor para resistir aos ataques dos monstros. Ajude-o a recuperar os Encantamentos de Chama que ele plantou nos monstros.
QUEST_LV_0100_20150317_005612	$Entregue os Encantamentos de Chama a Simon Shaw
QUEST_LV_0100_20150317_005613	$Recuperou todos os Encantamentos de Chama. Entregue-os a Simon Shaw.
QUEST_LV_0100_20150317_005614	$Derrote Drake Negro e obtenha %s
QUEST_LV_0100_20150317_005615	$Simon Shaw viu alguma coisa. Fale com ele.
QUEST_LV_0100_20150317_005616	$Derrote os monstros próximos
QUEST_LV_0100_20150317_005617	$Simon Shaw diz que viu Bearkaras e vai persegui-lo. Impeça a marcha dos monstros enquanto Simon persegue Bearkaras.
QUEST_LV_0100_20150317_005618	$Encontre Simon Shaw
QUEST_LV_0100_20150317_005619	$Simon Shaw não voltou. Vá ao Pequeno Salão onde ele foi perseguir Bearkaras.
QUEST_LV_0100_20150317_005620	$Simon parece muito cansado. Fale com ele.
QUEST_LV_0100_20150317_005621	$Simon diz que não pode derrotar Bearkaras sozinho. Derrote Bearkaras para ele.
QUEST_LV_0100_20150317_005622	$Derrotou Bearkaras. Conte isso a Simon Shaw para que ele possa abandonar a tarefa. 
QUEST_LV_0100_20150317_005623	Se você libertou todas as almas aprisionadas nas Pedras Lacradas no seu caminho da Torre da Maga, pode receber a última missão da lâmpada suspeita no caminho para o Grande Salão Keturidu.
QUEST_LV_0100_20150317_005624	Se você fizer os favores para as Pedras Lacradas, então poderá descobrir as identidades daqueles aprisionados dentro delas. Mate os monstros de guarda ao redor da Pedra Lacrada, como requisitado.
QUEST_LV_0100_20150317_005625	Derrotou todos os monstros ao redor. Volte à Pedra Lacrada.
QUEST_LV_0100_20150317_005626	Se você libertou todas as almas aprisionadas nas Pedras Lacradas no seu caminho da Torre da Maga, pode receber a última missão da lâmpada suspeita no caminho ao Grande Salão Keturidu. Fale com a Pedra Lacrada novamente.
QUEST_LV_0100_20150317_005627	{memo X}Derrote a Baleia de Pedra vigia de lacre
QUEST_LV_0100_20150317_005628	{memo X}A Baleia de Pedra que estava vigiando Hauberk acordou. Derrote a Baleia de Pedra.
QUEST_LV_0100_20150317_005629	Liberte a Pedra Lacrada
QUEST_LV_0100_20150317_005630	Volte a Hauberk, liberte sua última alma e faça um desejo para o futuro.
QUEST_LV_0100_20150317_005631	Derrote a Baleia de Pedra
QUEST_LV_0100_20150317_005632	Encontrou a deusa na Torre da Maga 5A
QUEST_LV_0100_20150317_005633	Procure a deusa na Torre da Maga 5A
QUEST_LV_0100_20150317_005634	$Destrua o Supressor de Magia preparado por Helgasercle
QUEST_LV_0100_20150317_005635	$Destrua todos os Supressores de Magia que Helgasercle preparou no 5o andar da Torre da Maga.
QUEST_LV_0100_20150317_005636	$Encontre e derrote Helgasercle que invadiu a Torre da Maga.
QUEST_LV_0100_20150317_005637	$Fale com o Vigia Gilbert
QUEST_LV_0100_20150317_005638	{memo X}
QUEST_LV_0100_20150317_005639	Derrote Grummers e Nozigs
QUEST_LV_0100_20150317_005640	Gilbert quer derrotar os monstros que danificaram o bondinho. Derrote-os na Estrada Tortuosa Cholras e conte isso para Gilbert. 
QUEST_LV_0100_20150317_005641	Puniu os Grummers e Nozigs. Diga a Gilbert que você lhes ensinou uma lição. 
QUEST_LV_0100_20150317_005642	$Derrote Nozigs
QUEST_LV_0100_20150317_005643	$Derrote Grummers
QUEST_LV_0100_20150317_005644	Derrote os Pantos e recupere as engrenagens
QUEST_LV_0100_20150317_005645	Gilbert diz que os Pantos no Declive Mieguista roubaram as engrenagens do bondinho. Derrote-os para recuperar as engrenagens e devolva-as para Gilbert. 
QUEST_LV_0100_20150317_005646	Obteve as engrenagens derrotando os Pantos. Devolva-as para Gilbert. 
QUEST_LV_0100_20150317_005647	Derrote Pantos e obtenha %s
QUEST_LV_0100_20150317_005648	Derrote os Pantos
QUEST_LV_0100_20150317_005649	Encontre os fechos da alça de alavanca
QUEST_LV_0100_20150317_005650	Os Pantos no Declive Mieguista roubaram as peças do bondinho e as esconderam na grama. Encontre os fechos da alça da alavanca na grama. 
QUEST_LV_0100_20150317_005651	Encontrou os fechos da alça da alavanca na grama. Devolva-os para Gilbert. 
QUEST_LV_0100_20150317_005652	Fale com a Vigia Molly
QUEST_LV_0100_20150317_005653	Entregue beterrabas doces aos Bebês Pantos
QUEST_LV_0100_20150317_005654	Vigia Molly disse que você pode usar beterrabas doces para atrair Bebês Pantos. Aproxime-se dos Bebês Pantos e use as beterrabas doces!
QUEST_LV_0100_20150317_005655	Atraiu os Bebês Pantos com beterrabas doces. Escute os próximos planos de Molly. 
QUEST_LV_0100_20150317_005656	Fale com o Vigia Matthew
QUEST_LV_0100_20150317_005657	Recupere Peças do Bondinho
QUEST_LV_0100_20150317_005658	Vigia Matthew pediu para você ajudar a encontrar peças do bondinho que Nozigs no Prado Nepavy engoliram.
QUEST_LV_0100_20150317_005659	Encontrou as peças do bondinho como Matthew pediu. Entregue-as a Matthew. 
QUEST_LV_0100_20150317_005660	Recupere %s de Nozigs 
QUEST_LV_0100_20150317_005661	Derrote Poata, que é uma ameaça ao bondinho
QUEST_LV_0100_20150317_005662	Vigia Matthew pediu para você derrotar o Poata para que não possa mais destruir o bondinho. Suje o ninho de Poata na Colina Margas para atraí-lo, e então derrote-o. 
QUEST_LV_0100_20150317_005663	Derrote o Poata, como Vigia Matthew pediu. Conte as boas notícias para ele.
QUEST_LV_0100_20150317_005664	Derrote Poata
QUEST_LV_0100_20150317_005665	{memo X}Fale com Molly
QUEST_LV_0100_20150317_005666	Vigia Molly está procurando por alguém corajoso o suficiente para ajudar em seu grande plano.
QUEST_LV_0100_20150317_005667	Leve os Bebês Pantos e encontre Capria
QUEST_LV_0100_20150317_005668	Vigia Molly disse para tentar persuadir Capria com os Bebês Pantos. Mas você não tem certeza se vai funcionar. Você pode encontrar Capria no caminho para o Platô Gele depois da Encruzilhada Spalva.
QUEST_LV_0100_20150317_005669	{memo X}
QUEST_LV_0100_20150317_005670	Derrote Capria
QUEST_LV_0100_20150317_005671	Encontre o Mestre Paladino
QUEST_LV_0100_20150317_005672	{memo X}
QUEST_LV_0100_20150317_005673	Fale com o Vigia Basil
QUEST_LV_0100_20150317_005674	{memo X}
QUEST_LV_0100_20150317_005675	Colete Sementes Mali
QUEST_LV_0100_20150317_005676	Basil pediu para você ajudar coletando Sementes Mali que são necessárias para fazer bonecas xamã se moverem. Você pode encontrar Malis ao redor na Estrada Labure.
QUEST_LV_0100_20150317_005677	Obteve Sementes Mali suficientes. Volte ao Vigia Basil.
QUEST_LV_0100_20150317_005678	Derrote Mali e obtenha %s
QUEST_LV_0100_20150317_005679	Fale com o Vigia Mori
QUEST_LV_0100_20150317_005680	{memo X}
QUEST_LV_0100_20150317_005681	$Destrua Totens Panto com Bonecas Xamã
QUEST_LV_0100_20150317_005682	$Use o Pergaminho de Invocação para invocar Bonecas Xamã e guie-as aos Totens Panto. As Bonecas destruirão os Totens.
QUEST_LV_0100_20150317_005683	Derrote Simorfo
QUEST_LV_0100_20150317_005684	Derrote Simorfo com as bonecas xamã
QUEST_LV_0100_20150317_005685	Derrote Simorfo na Cabine da Colina da Montanha Valio
QUEST_LV_0100_20150317_005686	Destrua todos os Totens, como requisitado. Procure por Simorfo, e derrote-o.
QUEST_LV_0100_20150317_005687	{memo X}Derrotou Simorfo com as Bonecas Xamã como Mori pediu. Conte isso para Mori. 
QUEST_LV_0100_20150317_005688	Purifique a terra corrompida por demônios
QUEST_LV_0100_20150317_005689	Use o pergaminho de invocação para invocar uma boneca xamã e traga-a à Estrada Labure. A boneca xamã encontrará a terra corrompida por demônios.
QUEST_LV_0100_20150317_005690	Derrote a Carnívora Selvagem
QUEST_LV_0100_20150317_005691	Derrote a Carnívora Selvagem manchada pela corrupção demoníaca
QUEST_LV_0100_20150317_005692	Derrote a Carnívora Selvagem no Campo Pasiulyma
QUEST_LV_0100_20150317_005693	{memo X}Purificou a área poluída e derrotou Carnívora como Mori pediu. Conte isso para Mori. 
QUEST_LV_0100_20150317_005694	Obtenha corda ritual
QUEST_LV_0100_20150317_005695	{memo X}Basil diz que Pantos na Cabine do Zelador da Floresta tem a corda necessária para restaurar as bonecas xamã. Ele diz que você pode usar força se palavras não funcionarem, e parece que isso será necessário. 
QUEST_LV_0100_20150317_005696	Usou força para obter cordas suficientes. Entregue-as ao Vigia Basil.
QUEST_LV_0100_20150317_005697	{memo X}Derrote Xamãs Panto e obtenha %s
QUEST_LV_0100_20150317_005698	Obtenha corda para ritual
QUEST_LV_0100_20150317_005699	Obtenha a Crina Encantada de Cogucaria
QUEST_LV_0100_20150317_005700	Vigia Basil pediu para você ir caçar o Cogucaria no Platô Tustanti e coletar sua Crina Encantada. 
QUEST_LV_0100_20150317_005701	Derrote Cogucaria e recupere sua Crina Encantada. Entregue-a ao Vigia Basil.
QUEST_LV_0100_20150317_005702	Derrote Cogucaria e obtenha %s
QUEST_LV_0100_20150317_005703	Obtenha a Crina Encantada de Cogucaria
QUEST_LV_0100_20150317_005704	Fale com a Deusa Saule
QUEST_LV_0100_20150317_005705	A dama presa era a Deusa Saule. Fale com a Deusa Saule.
QUEST_LV_0100_20150317_005706	Destrua os círculos mágicos remanescentes.
QUEST_LV_0100_20150317_005707	Deusa Saule foi presa pelos demônios e não pode usar seus poderes. Destrua o círculo mágico de aprisionamento que está segurando a deusa no Pátio Drugys e no Terreno Baldio Vapsva. 
QUEST_LV_0100_20150317_005708	Destrua todos os círculos mágicos de aprisionamento. Fale com a Deusa Saule. 
QUEST_LV_0100_20150317_005709	Verifique a barreira no Grande Templo de Saule
QUEST_LV_0100_20150317_005710	A barreira está bloqueando seu progresso. Verifique a barreira no Grande Templo de Saule.
QUEST_LV_0100_20150317_005711	Derrote o demônio que aprisiona a deusa.
QUEST_LV_0100_20150317_005712	A barreira desapareceu e você pode ver alguém aprisionado pelo demônio. Primeiro, derrote o demônio. 
QUEST_LV_0100_20150317_005713	{memo X}Falar com a dama
QUEST_LV_0100_20150317_005714	{memo X}Derrote os demônios que prendiam a dama. Ela parece ter um poder forte e sagrado. Fale com a dama.
QUEST_LV_0100_20150317_005715	Derrote Harpia
QUEST_LV_0100_20150317_005716	Verifique a magia aprisionadora no Pátio Drugys.
QUEST_LV_0100_20150317_005717	Há um círculo mágico de aprisionamento imbuído de energia negra no Pátio Drugys. Foi preparado pelos demônios. Vá inspecioná-lo.
QUEST_LV_0100_20150317_005718	Verifique o círculo mágico de aprisionamento no Terreno Baldio Vapsva
QUEST_LV_0100_20150317_005719	Há um círculo mágico de aprisionamento imbuído de energia negra no Terreno Baldio Vapsva. Foi preparado pelos demônios. Vá inspecioná-lo.
QUEST_LV_0100_20150317_005720	Derrote Merge
QUEST_LV_0100_20150317_005721	Removeu o círculo mágico que aprisionava a Deusa Saule, mas isso não é suficiente. Fale novamente com a Deusa Saule.
QUEST_LV_0100_20150317_005722	Obtenha as Ferramentas de Oferenda na Grande Galeria do Altar.
QUEST_LV_0100_20150317_005723	A Deusa Saule diz que o observador Clímene se escondeu na fenda dimensional, mas sua força ainda não foi recobrada, então ela não pode encontrá-lo. Encontre as ferramentas de oferenda na Grande Galeria do Altar para ajudar a deusa a recuperar seus poderes. 
QUEST_LV_0100_20150317_005724	{memo This line is used when both giving multiple items and a single item}Entregar para a Deusa Saule
QUEST_LV_0100_20150317_005725	Encontrou os materiais para ajudar a deusa. Entregue-os à deusa.
QUEST_LV_0100_20150317_005726	Preparativos para ajudar a deusa a recuperar sua força estão prontos. Fale com a Deusa Saule.
QUEST_LV_0100_20150317_005727	Derrote os monstros próximos.
QUEST_LV_0100_20150317_005728	$Deusa Saule diz que derrotar os monstros próximos ajudarão a encontrar Clímene. Derrote os monstros e suprima a energia maligna.
QUEST_LV_0100_20150317_005729	Parece que a Deusa Saule encontrou os demônios. Volte até a Deusa Saule.
QUEST_LV_0100_20150317_005730	Derrote monstros perto do Grande Templo
QUEST_LV_0100_20150317_005731	Rompa a Barreira Demoníaca
QUEST_LV_0100_20150317_005732	A Deusa Saule recuperou sua força com a ajuda das ferramentas de oferenda. Ela encontrou a barreira com o demônio que tem a chave. Vá derrotá-lo.
QUEST_LV_0100_20150317_005733	Derrote o demônio que estava com a chave.
QUEST_LV_0100_20150317_005734	A Deusa Saule recuperou sua força com as ferramentas de oferenda e encontrou a barreira onde está o demônio com a chave. Derrote o demônio que apareceu da barreira e obtenha a chave. 
QUEST_LV_0100_20150317_005735	Você encontrou a chave para finalmente libertar a Deusa Saule da esfera de aprisionamento. Leve a chave até a Deusa Saule. 
QUEST_LV_0100_20150317_005736	Remove a esfera de aprisionamento que está segurando a Deusa Saule.
QUEST_LV_0100_20150317_005737	Use a chave para libertar a Deusa Saule da esfera de aprisionamento.
QUEST_LV_0100_20150317_005738	A Deusa Saule está livre. Fale com ela.
QUEST_LV_0100_20150317_005739	{memo X}Derrotou Espinheiro e obteve a revelação. Volte até a Deusa Saule. 
QUEST_LV_0100_20150317_005740	A Revelação instrui você a ir até o Mausoléu Real do Grande Rei Zachariel. Fale com a deusa.
QUEST_LV_0100_20150317_005741	{memo X}
QUEST_LV_0100_20150317_005742	{memo X}
QUEST_LV_0100_20150317_005743	$Obtenha Pedras de Purificação do Tanu
QUEST_LV_0100_20150317_005744	$Você precisa usar o portal para ir à Deusa Saule, mas ele não está funcionando. O Velho Senhor disse que você precisa da Pedra de Purificação do Tanu para ativar o portal.
QUEST_LV_0100_20150317_005745	$Coletou todas as Pedras de Purificação necessárias. Use-as para purificar a Lagoa Sagrada.
QUEST_LV_0100_20150317_005746	$Purifique a Lagoa Sagrada que deve restaurar o portal.
QUEST_LV_0100_20150317_005747	$Relate isso ao Velho Senhor.
QUEST_LV_0100_20150317_005748	$Purificou a Lagoa Sagrada. Volte ao Velho Senhor e pergunte sobre o portal mencionado na revelação.
QUEST_LV_0100_20150317_005749	$Relate isso ao Velho Senhor.
QUEST_LV_0100_20150317_005750	$Encontre o habitante enviado pelo Velho Senhor
QUEST_LV_0100_20150317_005751	$O Velho Senhor diz que enviou um habitante ao Sacrário Nugria para verificar se o portal estava funcionando, mas ele nunca mais entrou em contato. Encontre o habitante que foi enviado ao Sacrário Nugria.
QUEST_LV_0100_20150317_005752	Fale com o Habitante Ferido
QUEST_LV_0100_20150317_005753	Derrote os monstros que atacaram o habitante. Fale com o habitante.
QUEST_LV_0100_20150317_005754	$Derrote os monstros que atacaram o habitante
QUEST_LV_0100_20150317_005755	$Encontrou o habitante, mas ele parece ferido. Pergunte a ele o que aconteceu.
QUEST_LV_0100_20150317_005756	$Verifique o altar no Sacrário Nugria
QUEST_LV_0100_20150317_005757	O habitante diz que foi atacado enquanto estava indo checar o portal. Vá no lugar do habitante e verifique se o portal no Sacrário Nugria está aberto. 
QUEST_LV_0100_20150317_005758	$Purificou a Lagoa Sagrada, mas o portal no Sacrário Nugria não se abriu. Volte até o Habitante Ferido e pergunte o que fazer.
QUEST_LV_0100_20150317_005759	$Verifique o Portal no Sacrário Nugria
QUEST_LV_0100_20150317_005760	$Verifique o Portal no Sacrário Nugria.
QUEST_LV_0100_20150317_005761	Derrote Moyabruka
QUEST_LV_0100_20150317_005762	$Descubra a fonte da corrupção na Encosta Veidma
QUEST_LV_0100_20150317_005763	$Algo está corrompendo os arredores da Encosta Veidma. Derrote a fonte.
QUEST_LV_0100_20150317_005764	A fonte da corrupção está ficando mais forte, assim como os monstros. Derrote os monstros próximos e remova a fonte quando estiver enfraquecida.
QUEST_LV_0100_20150317_005765	$Verifique a Lagoa Sagrada
QUEST_LV_0100_20150317_005766	$A corrupção na Lagoa Sagrada parece séria. Verifique a Lagoa Sagrada
QUEST_LV_0100_20150317_005767	Derrote Merrainha
QUEST_LV_0100_20150317_005768	$Vá ao altar no Sacrário Nugria
QUEST_LV_0100_20150317_005769	{memo X}
QUEST_LV_0100_20150317_005770	Use o Selo do Espaço
QUEST_LV_0100_20150317_005771	{memo X}
QUEST_LV_0100_20150317_005772	Um Livro Oculto do Mausoléu Sagrado apareceu
QUEST_LV_0100_20150317_005773	Um livro oculto apareceu em algum lugar no Mausoléu Real 5A. Fale com ele.
QUEST_LV_0100_20150317_005774	Obtenha o item da missão
QUEST_LV_0100_20150317_005775	O Livro do Mausoléu Sagrado quer uma pedra de sangue. Melhor obtê-la antes que o livro desapareça. Lagartomens no Jardim Antigo da Deusa podem tê-las em sua posse.
QUEST_LV_0100_20150317_005776	Fale com o Livro do Mausoléu Real
QUEST_LV_0100_20150317_005777	Fale com o livro de novo. Se o livro desapareceu, você precisa esperar até que ele apareça novamente. 
QUEST_LV_0100_20150317_005778	Traga %s
QUEST_LV_0100_20150317_005779	Fale com Koven 
QUEST_LV_0100_20150317_005780	Encontre o Baú do Tesouro
QUEST_LV_0100_20150317_005781	Encontre o Baú do tesouro escondido em algum lugar do Regato de Cristal. Pode ser aberto com a chave que Koven te deu.
QUEST_LV_0100_20150317_005782	Fale com Peluda Estranha
QUEST_LV_0100_20150317_005783	Peluda Estranha está surpresa com a sacola cheia de Chifres de Drake. Fale com ela. 
QUEST_LV_0100_20150317_005784	Faça distintivo de Drake
QUEST_LV_0100_20150317_005785	Obteve o recibo da Peluda Estranha
QUEST_LV_0100_20150317_005786	Chave pode ser usada para criar emblema de Drake
QUEST_LV_0100_20150317_005787	Confeccionou o emblema de Drake. Fale com Peluda Estranha.
QUEST_LV_0100_20150317_005788	Faça %s e entregue à Peluda Estranha
QUEST_LV_0100_20150317_005789	Fale com todos os mestres. Fale com o Mestre Taumaturgo em Fedimian.
QUEST_LV_0100_20150317_005790	Encontre os Magos na Torre da Maga.
QUEST_LV_0100_20150317_005791	O Mestre Taumaturgo sugeriu uma aposta. Você precisa encontrar todos os magos na Torre da Maga, e resolver os enigmas que eles propõem.
QUEST_LV_0100_20150317_005792	Resolva o enigma de Simon Shaw na Torre da Maga 5o Andar.
QUEST_LV_0100_20150317_005793	Resolveu enigmas de três magos. Fale com Simon Shaw na Torre da Maga 5o Andar para receber o último enigma. 
QUEST_LV_0100_20150317_005794	Fale com Simon Shaw para receber o último enigma.
QUEST_LV_0100_20150317_005795	Encontre a página do livro no Laboratório do 3o andar da Torre da Maga
QUEST_LV_0100_20150317_005796	Simon Shaw ofereceu receber uma página do livro ao invés do enigma. Encontre o livro no Laboratório do 3o Andar da Torre da Maga.
QUEST_LV_0100_20150317_005797	Entregue-a a Simon Shaw
QUEST_LV_0100_20150317_005798	Encontrou todas as páginas. Fale com Simon Shaw.
QUEST_LV_0100_20150317_005799	O Mestre Sadhu está olhando para você com um sorriso maroto. Fale com ele.
QUEST_LV_0100_20150317_005800	Obtenha âmbar com um lagarto dentro
QUEST_LV_0100_20150317_005801	O Mestre Sadhu quer que você traga a ele algo muito querido. Obtenha o âmbar com um lagarto dentro para ele. 
QUEST_LV_0100_20150317_005802	Obtenha o âmbar com lagarto. Entregue-o ao Mestre Sadhu.
QUEST_LV_0100_20150317_005803	Obtenha %s
QUEST_LV_0100_20150317_005804	Fale com o ser desconhecido
QUEST_LV_0100_20150317_005805	Você ouviu uma voz estranha em algum lugar. Fale com o ser desconhecido.
QUEST_LV_0100_20150317_005806	Insira a pista
QUEST_LV_0100_20150317_005807	O ser desconhecido diz que você precisa trazer mais pistas para que ele fale. Encontre e insira as cinco pistas das Minas de Cristal 1o Andar. 
QUEST_LV_0100_20150317_005808	Encontrou as pistas sobre o ser desconhecido. Fale com o ser desconhecido novamente. 
QUEST_LV_0100_20150317_005809	Caçando.
QUEST_LV_0100_20150317_005810	O ser desconhecido recitou um enigma, dizendo:
QUEST_LV_0100_20150317_005811	a coisa a fazer, a coisa que foi feita, e a coisa que continuarei fazendo.
QUEST_LV_0100_20150317_005812	Dê a sua resposta na forma de uma ação.
QUEST_LV_0100_20150317_005813	Resolveu o enigma. Fale com o ser desconhecido. 
QUEST_LV_0100_20150317_005814	Responda o enigma
QUEST_LV_0100_20150317_005815	Rompa o lacre no Penhasco Pasaga.
QUEST_LV_0100_20150317_005816	{memo X}
QUEST_LV_0100_20150317_005817	{memo X}Monstros apareceram de repente enquanto você tentava remover o lacre. Derrote-os e proteja-se. 
QUEST_LV_0100_20150317_005818	Derrotou todos os monstros que estavam interferindo. Tente romper o lacre novamente. 
QUEST_LV_0100_20150317_005819	{memo X}
QUEST_LV_0100_20150317_005820	Sua tentativa de romper o lacre invocou sentinelas. Destrua todos os sentinelas. 
QUEST_LV_0100_20150317_005821	Destrua os sentinelas
QUEST_LV_0100_20150317_005822	{memo X}
QUEST_LV_0100_20150317_005823	Ferroada-rainha apareceu quando você rompeu o lacre! Derrote-a!
QUEST_LV_0100_20150317_005824	O trabalho de verdade ficou mais sério a partir de agora. Fale com Raudi novamente.
QUEST_LV_0100_20150317_005825	Verifique os pilares de pedra na Escadaria Alkune
QUEST_LV_0100_20150317_005826	Agora que você cuidou dos monstros, verifique os pilares de pedra ao redor da Escadaria Alkune. Você será capaz de encontrar traços das relíquias nos pilares.
QUEST_LV_0100_20150317_005827	Recuperou todas as relíquias de Raudi. Volte e entregue as relíquias para Raune.
QUEST_LV_0100_20150317_005828	Verifique o Epitáfio
QUEST_LV_0100_20150317_005829	Há epitáfios sobre o Mausoléu Real no Planalto Shirnas. Verifique o epitáfio de Shirnas, que é um deles. 
QUEST_LV_0100_20150317_005830	Derrote os monstros próximos ao Epitáfio
QUEST_LV_0100_20150317_005831	Monstros apareceram quando você se encostou no epitáfio, como se quisesse protegê-lo! Derrote os monstros, e depois verifique o epitáfio.
QUEST_LV_0100_20150317_005832	Verifique o epitáfio novamente
QUEST_LV_0100_20150317_005833	Se livrou dos monstros. Agora, verifique o epitáfio novamente.
QUEST_LV_0100_20150317_005834	Derrote os monstros próximos ao epitáfio
QUEST_LV_0100_20150317_005835	{memo X}
QUEST_LV_0100_20150317_005836	Derrote os monstros
QUEST_LV_0100_20150317_005837	Monstros brotaram antes de você conseguir verificar o epitáfio! Derrote-os primeiro, e depois verifique o epitáfio.
QUEST_LV_0100_20150317_005838	Se livrou por pouco dos monstros. Agora verifique o epitáfio cuidadosamente.
QUEST_LV_0100_20150317_005839	Derrote Zinutekas
QUEST_LV_0100_20150317_005840	Corpo do mercenário caído
QUEST_LV_0100_20150317_005841	Há muitas pessoas mortas ao redor devido à incursão dos monstros. Aproxime-se e conforte-as.
QUEST_LV_0100_20150317_005842	Emboscada de Javalomens
QUEST_LV_0100_20150317_005843	Javalomens escondidos apareceram quando você encostou no corpo morto. Derrote-os. 
QUEST_LV_0100_20150317_005844	Dê conforto ao corpo para que descanse em paz
QUEST_LV_0100_20150317_005845	Derrotou todos os monstros ao redor. Dê conforto aos corpos para que descansem em paz. 
QUEST_LV_0100_20150317_005846	Derrote os Javalomens da emboscada
QUEST_LV_0100_20150317_005847	$Altar Tzedej
QUEST_LV_0100_20150317_005848	{memo X}
QUEST_LV_0100_20150317_005849	Monstro Apareceu
QUEST_LV_0100_20150317_005850	O altar se quebrou repentinamente e estátuas de monstro surgiram! Derrote Javalomens das estátuas!
QUEST_LV_0100_20150317_005851	Derrote Javalomens que apareceram como estátuas de pedra
QUEST_LV_0100_20150317_005852	{memo X}
QUEST_LV_0100_20150317_005853	{memo X}
QUEST_LV_0100_20150317_005854	Javalomens apareceram ao abrir o Baú de Tesouro! Derrote-os.
QUEST_LV_0100_20150317_005855	Derrote os Javalomens Atacantes
QUEST_LV_0100_20150317_005856	Fale com a Segurança
QUEST_LV_0100_20150317_005857	A Segurança parece estar em apuros. Fale com ela.
QUEST_LV_0100_20150317_005858	Encontrando Baús do Tesouro das ruínas
QUEST_LV_0100_20150317_005859	A Segurança parece ter sido perseguida pelos monstros até aqui. Encontre os baús de tesouro que a Segurança estava protegendo nas Ruínas Sem Rastro.
QUEST_LV_0100_20150317_005860	Encontrou o Baú do Tesouro, mas está vazio e você acabou de encontrar um monte de Javalomens. Fale sobre isso com a Segurança.
QUEST_LV_0100_20150317_005861	O que o guarda está procurando
QUEST_LV_0100_20150317_005862	Disse a ela que o baú do tesouro estava vazio. Mas a Segurança ainda parece precisar de mais ajuda. Fale com ela.
QUEST_LV_0100_20150317_005863	Encontre o colar dos Javalomens
QUEST_LV_0100_20150317_005864	Ao usar a chave V, o corpo do Capitão Javalomem com o colar brilhará. Encontre o colar e entregue-o à Segurança.
QUEST_LV_0100_20150317_005865	Traga o colar 
QUEST_LV_0100_20150317_005866	Encontrou o colar que a Segurança estava procurando. Traga-o para a Segurança.
QUEST_LV_0100_20150317_005867	{memo X}
QUEST_LV_0100_20150317_005868	{memo X}
QUEST_LV_0100_20150317_005869	{memo X}
QUEST_LV_0100_20150317_005870	{memo X}
QUEST_LV_0100_20150317_005871	Fale com o Peregrino Witas
QUEST_LV_0100_20150317_005872	{memo X}
QUEST_LV_0100_20150317_005873	Derrote Witas, que virou um monstro
QUEST_LV_0100_20150317_005874	{memo X}
QUEST_LV_0100_20150317_005875	{memo X}
QUEST_LV_0100_20150317_005876	{memo X}
QUEST_LV_0100_20150317_005877	{memo X}
QUEST_LV_0100_20150317_005878	Prepare uma cova para Witas
QUEST_LV_0100_20150317_005879	{memo X}
QUEST_LV_0100_20150317_005880	{memo X}
QUEST_LV_0100_20150317_005881	Colar da Ganância
