QUEST_LV_0100_20150317_000001	Sentinela
QUEST_LV_0100_20151016_009904	Obrigado. O número de demônios reduziu significativamente!
QUEST_LV_0100_20151016_009905	Nós devemos achar um meio de purificar a terra. Mas não sei como poderiamos.{nl}Até Dievdirbys Widas não achou nenhum plano de purificação.{nl}
QUEST_LV_0100_20151016_009906	Sera que algum dos Mestres em Orsha saberia o que fazer?{nl}Eu até iria para Orsha perguntar, mas no momento não posso...{nl}Você poderia falar com os Mestres e ver se eles têm alguma ideia?
QUEST_LV_0100_20151016_009907	Mestre de Orsha
QUEST_LV_0100_20151016_009908	Ah... Você está procurando um meio de purificar a terra?{nl}Como que eu poderia dizer não para esse rostinho.{nl}Vou te dar um Purification Scroll.
QUEST_LV_0100_20151016_009909	Deve haver um Mestre em Orsha que saiba como purificar a terra!{nl}Tem que ter...
QUEST_LV_0100_20151016_009910	Woa! Um Purification Scroll?{nl}É perfeito! Muito obrigado mesmo!
QUEST_LV_0100_20151016_009911	Enquanto você estava em Orsha, eu dei uma olhada pela volta.{nl}Alguns totens erguidos estão corrompendo o solo.{nl}Demônios estão protegendo eles, por isso não pude me aproximar...{nl}
QUEST_LV_0100_20151016_009912	Poderia te pedir para destruir estes totens e usar o Purification Scroll nestes locais?
QUEST_LV_0100_20151016_009913	Eu imagino o quão forte esta energia maligna é... dado que até os Ferrets foram afetados.
QUEST_LV_0100_20151016_009914	Oh, muito obrigado mesmo! Eu precisava mesmo de sua ajuda!{nl}Quando o templo for construído, venha me visitar!
QUEST_LV_0100_20151016_009915	Estávamos quase perdendo toda a esperança para a nossa vila...{nl}Você realmente é um Salvador... não tenho palavras para agradecer!{nl}
QUEST_LV_0100_20151016_009916	Chegou a hora de reconstruir o templo, todos juntos.{nl}Eu procurei pelo espaço perfeito e achei um local, rico em energia vital.{nl}Demônios estavam por perto, então não pude inspecionar cuidadosamente. Mas não importa,{nl}eu acredito que a Deusa Lada irá recuperar sua energia rápido, especialmente descansando naquele local.{nl}
QUEST_LV_0100_20151016_009917	Eu devo te dar esta Earth's Flower Seed.{nl}Esta flor retira energia do solo para crescer.{nl}Energia vital se acumula dentro desta flor. Quando florescer,{nl}por favor leve para a Deusa Lada.
QUEST_LV_0100_20151016_009918	Eu nunca senti tamanha energia vital... {nl}Um templo com termas seria ótimo...{nl}
QUEST_LV_0100_20151016_009919	...Hmm?{nl}Ah, não dê bola para o que eu disse, eu estava pensando alto. {nl}Não foi nada, sério. Não dê bola...
QUEST_LV_0100_20151016_009920	Deusa Lada
QUEST_LV_0100_20151016_009921	Mesmo que tudo tenha acontecido conforme a profecia de Laima,{nl}mesmo assim eu sucumbi e deixei os aldeões desprotegidos...{nl}Minha gratidão não pode ser expressada por meras palavras...{nl}E esta flor está cheia de energia vital...{nl}Minha recuperação não demorará. Novamente, eu te agradeço profundamente.
QUEST_LV_0100_20151016_009922	(A garota está olhando intensamente para o broto brilhante, sem dizer uma palavra)
QUEST_LV_0100_20151016_009923	(Então, com uma luz forte, ela desaparece)
QUEST_LV_0100_20151016_009924	Resgate os habitantes e procure pela Luz da Salvação
QUEST_LV_0100_20151016_009925	Restaurando o altar
QUEST_LV_0100_20151016_009926	Lápides Violadas
QUEST_LV_0100_20151016_009927	Destrua as Lápides de Nestopa (1)
QUEST_LV_0100_20151016_009928	Albinas dizia a verdade!!{nl}As lápides foram violadas e estão conjurando montros! Destrua ambos!
QUEST_LV_0100_20151016_009929	Destrua as Lápides de Nestopa (2)
QUEST_LV_0100_20151016_009930	Explique por que você as destruiu
QUEST_LV_0100_20151016_009931	Resultado e Responsabilidade
QUEST_LV_0100_20151016_009932	Desculpe-se e busque perdão
QUEST_LV_0100_20151016_009933	Refazendo a Lápide (1)
QUEST_LV_0100_20151016_009934	Pergunte o que devo fazer
QUEST_LV_0100_20151016_009935	Refazendo a Lápide (2)
QUEST_LV_0100_20151016_009936	Refazendo a Lápide (3)
QUEST_LV_0100_20151016_009937	Pergunte por Albinas
QUEST_LV_0100_20151016_009938	Sobre o tupo de materiais
QUEST_LV_0100_20151016_009939	Começo e Fim
QUEST_LV_0100_20151016_009940	Achados e Perdidos (1)
QUEST_LV_0100_20151016_009941	Achados e Perdidos (2)
QUEST_LV_0100_20151016_009942	O estoque da Merchant Alliance está infestado de monstros!{nl}Destrua-os e ache as pistas!
QUEST_LV_0100_20151016_009943	Achados e Perdidos (3)
QUEST_LV_0100_20151016_009944	Materiais Educativos da Kedoran Merchant Alliance (1)
QUEST_LV_0100_20151016_009945	O que é o Manual do Novo Recruta?
QUEST_LV_0100_20151016_009946	Materiais Educativos da Kedoran Merchant Alliance (2)
QUEST_LV_0100_20151016_009947	Erguendo Lápides (1)
QUEST_LV_0100_20151016_009948	Erguendo Lápides (2)
QUEST_LV_0100_20151016_009949	Erguendo Lápides (3)
QUEST_LV_0100_20151016_009950	Erguendo Lápides (4)
QUEST_LV_0100_20151016_009951	Erguer
QUEST_LV_0100_20151016_009952	Símbolo Perdido (1)
QUEST_LV_0100_20151016_009953	Símbolo Perdido (2)
QUEST_LV_0100_20151016_009954	Fale mais
QUEST_LV_0100_20151016_009955	Poderia procurar na área mais uma vez?
QUEST_LV_0100_20151016_009956	Só um momento
QUEST_LV_0100_20151016_009957	Tente usar o monóculo
QUEST_LV_0100_20151016_009958	Não deve ter nada importante
QUEST_LV_0100_20151016_009959	Explique sobre a Revelação
QUEST_LV_0100_20151016_009960	Siga-o agora, porém informe Amanda discretamente
QUEST_LV_0100_20151016_009961	Darei um jeito eu mesmo
QUEST_LV_0100_20151016_009962	Para o Storage Quarter (1)
QUEST_LV_0100_20151016_009963	Eu vou ativar o Earth Crystal
QUEST_LV_0100_20151016_009964	Para o Storage Quarter (2)
QUEST_LV_0100_20151016_009965	Como que faço o símbolo?
QUEST_LV_0100_20151016_009966	Vou coletar ossos de demônios
QUEST_LV_0100_20151016_009967	Só um momento
QUEST_LV_0100_20151016_009968	Eu trarei os espíritos
QUEST_LV_0100_20151016_009969	Pare! Eles estão sofrendo!
QUEST_LV_0100_20151016_009970	Qual é o plano?
QUEST_LV_0100_20151016_009971	Vou coletar as partes
QUEST_LV_0100_20151016_009972	Como se ativa o círculo mágico?
QUEST_LV_0100_20151016_009973	A Pedra de Fundação está ativada!
QUEST_LV_0100_20151016_009974	Destruir os totems? Certo
QUEST_LV_0100_20151016_009975	Ativando o círculo mágico
QUEST_LV_0100_20151016_009976	O círculo mágico está ativo!
QUEST_LV_0100_20151016_009977	Eu consigo pra você se você achar
QUEST_LV_0100_20151016_009978	Pergunte o que estão conversando
QUEST_LV_0100_20151016_009979	Isso é um absurdo!
QUEST_LV_0100_20151016_009980	Sobre as outras suspeitas
QUEST_LV_0100_20151016_009981	Vendedor Nervoso
QUEST_LV_0100_20151016_009982	Amigos de Rose (1)
QUEST_LV_0100_20151016_009983	Amigos de Rose (2)
QUEST_LV_0100_20151016_009984	Amigos de Rose (3)
QUEST_LV_0100_20151016_009985	Mochila Perdida do Vendedor
QUEST_LV_0100_20151016_009986	Vendedor Nervoso
QUEST_LV_0100_20151016_009987	O Herbalista Ferido (1)
QUEST_LV_0100_20151016_009988	O Herbalista Ferido (2)
QUEST_LV_0100_20151016_009989	O Herbalista Ferido (3)
QUEST_LV_0100_20151016_009990	Onde Foram Todos? (1)
QUEST_LV_0100_20151016_009991	Vamos procurar em toda a vila?
QUEST_LV_0100_20151016_009992	Onde Foram Todos? (2)
QUEST_LV_0100_20151016_009993	Deveríamos procurar por eles
QUEST_LV_0100_20151016_009994	Desculpe, surgiu outra coisa
QUEST_LV_0100_20151016_009995	Onde Foram Todos? (3)
QUEST_LV_0100_20151016_009996	Vamos achar uma pista
QUEST_LV_0100_20151016_009997	Onde Foram Todos? (4)
QUEST_LV_0100_20151016_009998	Acalme-se
QUEST_LV_0100_20151016_009999	Não é meu problema
QUEST_LV_0100_20151016_010000	Onde Foram Todos? (5)
QUEST_LV_0100_20151016_010001	O que, em nome da Deusa, aconteceu nesta vila?
QUEST_LV_0100_20151016_010002	Acho que posso esperar
QUEST_LV_0100_20151016_010003	Pegue Todas as Ervas
QUEST_LV_0100_20151016_010004	Eu vou arrumar o lugar
QUEST_LV_0100_20151016_010005	Esconda bem
QUEST_LV_0100_20151016_010006	Grama Demoníaca (1)
QUEST_LV_0100_20151016_010007	Vou sair pra pegar essa grama
QUEST_LV_0100_20151016_010008	Grama Demoníaca (2)
QUEST_LV_0100_20151016_010009	Vou sair pra pegar os fluidos dos monstros
QUEST_LV_0100_20151016_010010	Grama Demoníaca (3)
QUEST_LV_0100_20151016_010011	Claro, vou colocar o fluido dos monstros
QUEST_LV_0100_20151016_010012	Gigante Verde (1)
QUEST_LV_0100_20151016_010013	Gigante Verde (2)
QUEST_LV_0100_20151016_010014	Mago Misterioso
QUEST_LV_0100_20151016_010015	Desativar
QUEST_LV_0100_20151016_010016	Para o Monastério
QUEST_LV_0100_20151016_010017	Herbalista Preso
QUEST_LV_0100_20151016_010018	Máquina Misteriosa (1)
QUEST_LV_0100_20151016_010019	Máquina Misteriosa (2)
QUEST_LV_0100_20151016_010020	Potencial Ameaça
QUEST_LV_0100_20151016_010021	O Resgate (1)
QUEST_LV_0100_20151016_010022	O Resgate (2)
QUEST_LV_0100_20151016_010023	O Resgate (3)
QUEST_LV_0100_20151016_010024	O Resgate (4)
QUEST_LV_0100_20151016_010025	O Resgate (5)
QUEST_LV_0100_20151016_010026	Um Corpo Exausto (1)
QUEST_LV_0100_20151016_010027	Um Corpo Exausto (2)
QUEST_LV_0100_20151016_010028	Lembrança
QUEST_LV_0100_20151016_010029	Resgate Edmundas (1)
QUEST_LV_0100_20151016_010030	Resgate Edmundas (2)
QUEST_LV_0100_20151016_010031	Resgate Edmundas (3)
QUEST_LV_0100_20151016_010032	Resgate Edmundas (4)
QUEST_LV_0100_20151016_010033	O Experimento (1)
QUEST_LV_0100_20151016_010034	O Experimento (2)
QUEST_LV_0100_20151016_010035	O Experimento (3)
QUEST_LV_0100_20151016_010036	Última Missão do Monge (1)
QUEST_LV_0100_20151016_010037	Última Missão do Monge (2)
QUEST_LV_0100_20151016_010038	Resgate Rose (1)
QUEST_LV_0100_20151016_010039	Resgate Rose (2)
QUEST_LV_0100_20151016_010040	Resgate Rose (3)
QUEST_LV_0100_20151016_010041	Resgate Rose (4)
QUEST_LV_0100_20151016_010042	A Preocupação de Edmundas (1)
QUEST_LV_0100_20151016_010043	A Preocupação de Edmundas (2)
QUEST_LV_0100_20151016_010044	A Preocupação de Edmundas (3)
QUEST_LV_0100_20151016_010045	A Preocupação de Edmundas (4)
QUEST_LV_0100_20151016_010046	O que aconteceu com o monastério?
QUEST_LV_0100_20151016_010047	Giant Bracken Spore
QUEST_LV_0100_20151016_010048	A Viajem Para Me Encontrar (7)
QUEST_LV_0100_20151016_010049	Eu sou o Revelador
QUEST_LV_0100_20151016_010050	Legal te ver, Tcha-au~~
QUEST_LV_0100_20151016_010051	Totem de Controle Animal
QUEST_LV_0100_20151016_010052	Eu vou encontrar
QUEST_LV_0100_20151016_010053	Explicando sobre a Garota Sequestrada
QUEST_LV_0100_20151016_010054	A Missão da Deusa (1)
QUEST_LV_0100_20151016_010055	A Missão da Deusa (2)
QUEST_LV_0100_20151016_010056	Hmm... Deixe-me verificar essas mudas misteriosas
QUEST_LV_0100_20151016_010057	A Missão da Deusa (3)
QUEST_LV_0100_20151016_010058	Analisando o Comportamento
QUEST_LV_0100_20151016_010059	Eu vou analisar todo o comportamento deles
QUEST_LV_0100_20151016_010060	A Barreira Misteriosa entre Eu e A Coisa
QUEST_LV_0100_20151016_010061	Explicando toda a informação obtida
QUEST_LV_0100_20151016_010062	Realidade Inaceitável (1)
QUEST_LV_0100_20151016_010063	Reportando os resultados
QUEST_LV_0100_20151016_010064	Realidade Inaceitável (2)
QUEST_LV_0100_20151016_010065	Eu vou atrás deles
QUEST_LV_0100_20151016_010066	Encontro Divino
QUEST_LV_0100_20151016_010067	A Deusa Sequestrada
QUEST_LV_0100_20151016_010068	O que eu devo fazer?
QUEST_LV_0100_20151016_010069	Isso parece muito complicado. Estou fora
QUEST_LV_0100_20151016_010070	Liberte a Deusa
QUEST_LV_0100_20151016_010071	Destrua Vitality Absorption Device
QUEST_LV_0100_20151016_010072	Espalhando o sangue imundo ao redor
QUEST_LV_0100_20151016_010073	A Coisa Que Não Deveria Deixar Ser
QUEST_LV_0100_20151016_010074	Eu devo trazer a completa e absoluta destruição
QUEST_LV_0100_20151016_010075	A Mensagem Secreta da Deusa
QUEST_LV_0100_20151016_010076	Preparações para Reconstrução do Templo (1)
QUEST_LV_0100_20151016_010077	Preparações para Reconstrução do Templo (2)
QUEST_LV_0100_20151016_010078	Eu voltarei com respostas
QUEST_LV_0100_20151016_010079	Por que não vai você mesmo?
QUEST_LV_0100_20151016_010080	Explicando a situação
QUEST_LV_0100_20151016_010081	Preparações para Reconstrução do Templo (3)
QUEST_LV_0100_20151016_010082	Eu irei purificar
QUEST_LV_0100_20151016_010083	Acho que não...
QUEST_LV_0100_20151016_010084	A Flor Enriquecida com a Terra
QUEST_LV_0100_20151016_010085	Deixe-me planta-la
QUEST_LV_0100_20151016_010086	Fale com Mardas
QUEST_LV_0100_20151016_010087	Parece que Mardas está sendo perseguido. Escute o que ele tem a dizer.
QUEST_LV_0100_20151016_010088	Inspecione o Local Infestado de Demônios
QUEST_LV_0100_20151016_010089	Mardas disse que está sendo perseguido por demônios. Ele pediu para você verificar se eles ainda estão procurando por ele.
QUEST_LV_0100_20151016_010090	Você viu monstros usando a Owl Sculpture para enviar uma conta de luz. Pergunte a Mardas o que ele sabe.
QUEST_LV_0100_20151016_010091	Pergunte a Mardas se ele já viu esta conta enviada pela Owl Sculpture
QUEST_LV_0100_20151016_010092	Siga a luz da Owl Sculpture
QUEST_LV_0100_20151016_010093	Mardas disse que os demônios estão coletando estas contas em algum lugar. Siga a conta de luz.
QUEST_LV_0100_20151016_010094	Suba a colina e siga a conta de luz.
QUEST_LV_0100_20151016_010095	A conta de luz foi enviada para outra Owl Sculpture na colina. Suba-a e não perca de vista...
QUEST_LV_0100_20151016_010096	Salvou a Owl Chief Sculpture. Parece que ela é capaz de falar. Escute o que tem a dizer.
QUEST_LV_0100_20151016_010097	A Owl Chief Sculpture, diferente das outras, está sã. Pergunte se sabe o que acontecem em Karolis Springs.
QUEST_LV_0100_20151016_010098	Procure pelo Karolis Springs Crystal
QUEST_LV_0100_20151016_010099	Para conseguir salvar as Owl Sculptures dos demônios, a Karolis Forest precisa ser revivida. Recuperar o Karolis Altar é o primeiro passo. Use o Guide Owl's Will para achar o Karolis Altar Crystal.
QUEST_LV_0100_20151016_010100	Recupere Karolis Altar Fragments dos monstros
QUEST_LV_0100_20151016_010101	Os monstros têm os fragmentos do Karolis Altar. Derrote-os para consegui-los.
QUEST_LV_0100_20151016_010102	Teleporte para o local onde o Karolis Altar costumava ficar.
QUEST_LV_0100_20151016_010103	Vá para o logar onde o Karolis Altar costumava ficar.
QUEST_LV_0100_20151016_010104	Restaure o altar onde está o que restou dele
QUEST_LV_0100_20151016_010105	Retorne para o Owl Chief
QUEST_LV_0100_20151016_010106	Altar restaurado. Retorne para o Owl Chief.
QUEST_LV_0100_20151016_010107	Não é o suficiente para trazer Karolis Springs de volta à vida. Fale mais com o Owl Chief.
QUEST_LV_0100_20151016_010108	Ativar as Luzes de Karolis
QUEST_LV_0100_20151016_010109	As Luzes de Karolis, ao redor do altar, precisam ser ativadas para restaurar o poder do altar. Há 4 luzes, que se extinguem rapidamente. Seja rápido.
QUEST_LV_0100_20151016_010110	Altar restaurado. Retorne para o Owl Chief.
QUEST_LV_0100_20151016_010111	O altar foi restaurado. Pergunte ao Owl Chief se funcionou.
QUEST_LV_0100_20151016_010112	Colete o poder das Owl Sculptures
QUEST_LV_0100_20151016_010113	A Owl Chief Sculpture disse que, para garantir a destruição da Mind Control Tower, é necessário coletar o poder das Owl Sculptures. Ache-as e pegue seus poderes.
QUEST_LV_0100_20151016_010114	Coletado todos os poderes das Owl Sculptures. Retorne para o Owl Chief.
QUEST_LV_0100_20151016_010115	Coletado todos os poderes das Owl Sculptures. Fale com a Owl Chief Sculpture.
QUEST_LV_0100_20151016_010116	Destrua a Mind Control Tower
QUEST_LV_0100_20151016_010117	Destrua a Mind Control Tower com o poder das Owl Sculptures.
QUEST_LV_0100_20151016_010118	A Mind Control Tower doi destruída. Retorne para a Owl Chief Sculpture.
QUEST_LV_0100_20151016_010119	Mardas está parado ao lado da Owl Chief Sculpture. Pergute-o o que estavam conversando.
QUEST_LV_0100_20151016_010120	Fale com a Owl Chief Sculpture novamente.
QUEST_LV_0100_20151016_010121	A Owl Chief Sculpture disse que pensará em um plano após ter conversado com Mardas. Enquanto isso, pergunte o que pode fazer.
QUEST_LV_0100_20151016_010122	A Owl Sculpture está bolando um plano para resolver o problema causado pelos demônios, baseado na história de Mardas. Pergunte o que pode fazer enquanto eles discutem.
QUEST_LV_0100_20151016_010123	Colete a Energy of Karolis Springs
QUEST_LV_0100_20151016_010124	Vá para o local onde diz conter a maior quantidade de energia e colete-as.
QUEST_LV_0100_20151016_010125	Destrua as Lápides de Nestopa
QUEST_LV_0100_20151016_010126	Destrua a Lápide de Nestopa
QUEST_LV_0100_20151016_010127	Você acha a lápide de Nestopa, a qual Albinas disse. Como Albinas mencionou, está corrompida. Destrua de uma vez.
QUEST_LV_0100_20151016_010128	A lápide de Nestopa certamente está corrompida. Rápido, destrua ela.
QUEST_LV_0100_20151016_010129	Verifique a lápide destruída
QUEST_LV_0100_20151016_010130	Você destruiu a lápide, assim como Albinas pediu. Verifique novamente.
QUEST_LV_0100_20151016_010131	Você destruiu a lápide, assim como Albinas pediu. Volte e fale com ele.
QUEST_LV_0100_20151016_010132	Ao retornar para Albinas, alguém apareceu. Talvez seja quem fez a lápide? Fale com ele.
QUEST_LV_0100_20151016_010133	Um homem apareceu assim que a lápide foi destruída. Quem poderia ser? Fale com ele.
QUEST_LV_0100_20151016_010134	Damijonas explicou, furiosamente, que a lápide não estava corrompida. A aura vermelha era uma proteção contra as más intenções. Quando uma pessoa maliciosa tentasse tocar nela, a aura traria monstros. O homem demanda saber quem criou essas falsas acusações. É melhor achar Albinas, explicar o que houve e traze-lo a mais breve possível.
QUEST_LV_0100_20151016_010135	Albinas não está no local que estava antes. Volte para Damijonas e explique a situação.
QUEST_LV_0100_20151016_010136	Explique-se
QUEST_LV_0100_20151016_010137	Damijonas continua furioso pelo fato da lápide ter sido destruída. Talvez, deixa-lo falar possa diminuir sua raiva. Fale com Damijonas.
QUEST_LV_0100_20151016_010138	A raiva de Damijonas era longa e severa. Mas acora passou. Pergunte o que você pode fazer agora.
QUEST_LV_0100_20151016_010139	Restaurando a Lápide
QUEST_LV_0100_20151016_010140	Fale para Damijonas que você arrumará a lápide.
QUEST_LV_0100_20151016_010141	Obtenha algumas pedras que podem ser usadas para restaurar a lápide, depois traga-as para Nestos Camp. Eles irão transorma-las em material para a restauração.
QUEST_LV_0100_20151016_010142	Agora, pergunte à Gevas qual deve ser a etapa final.
QUEST_LV_0100_20151016_010143	Fale as Novidades para Eduinas
QUEST_LV_0100_20151016_010144	Você precisa contar à Eduinas o que aconteceu até aqui. Fale com Eduinas.
QUEST_LV_0100_20151016_010145	Fale para Damijonas o que você sabe
QUEST_LV_0100_20151016_010146	Finalmente, fale com Damijonas
QUEST_LV_0100_20151016_010147	Encontre Leopoldoas, da Kedoran Merchant Alliance.
QUEST_LV_0100_20151016_010148	Fale com Leopoldas, o novo gerente de recrutas.
QUEST_LV_0100_20151016_010149	Serapinas é o responsável de Relações Públicas. Agora, ache um jogador no campo, usando o Kedoran Merchant Alliance Scroo nele. Você e o jogador receberão os Benefícios da Kedoran Merchant Alliance. Se você ou o outro jogador A)já recebeu os benefícios ou B)Maior que nível 10, os benefícios não serão aplicados. Certifique-se de usar o pergaminho corretamente, pois o tempo de carregamento não é curto.
QUEST_LV_0100_20151016_010150	Você terminou de promover a Kedoran Merchant Alliance. Volte para Serapinas.
QUEST_LV_0100_20151016_010151	Achados e Perdidos
QUEST_LV_0100_20151016_010152	Ache Edita
QUEST_LV_0100_20151016_010153	Vá e econtre Edita.
QUEST_LV_0100_20151016_010154	Ache os itens perditos da Merchant Alliance
QUEST_LV_0100_20151016_010155	Vá até o local que Edita disse e recupere os itens perdidos durante Medzio Diena pela Merchant Alliance. Derrote os monstros que você achar no caminho.
QUEST_LV_0100_20151016_010156	Fale com Edita
QUEST_LV_0100_20151016_010157	Protegeu o que Edita estava falando. Devolva para ela.
QUEST_LV_0100_20151016_010158	Removendo O Lixo pelo Caminho
QUEST_LV_0100_20151016_010159	Pergunte à Edita se tem mais alguma coisa para fazer.
QUEST_LV_0100_20151016_010160	Derrote os monstros e recupere os itens.
QUEST_LV_0100_20151016_010161	Os Monstros já infestaram a área que os itens devem estar. Ensine uma lição a eles e recupere os itens.
QUEST_LV_0100_20151016_010162	Você recuperou tudo, mas para saber o que são, você deve verificar com Jurate.
QUEST_LV_0100_20151016_010163	Escute mais detalhes dos itens recuperados.
QUEST_LV_0100_20151016_010164	Inspecione as áres onde os itens devem estar.
QUEST_LV_0100_20151016_010165	Materiais Educativos da Kedoran Merchant Alliance
QUEST_LV_0100_20151016_010166	Reporte para Edita
QUEST_LV_0100_20151016_010167	Recuperou todos os itens com sucesso. Entregue-os para Edita.
QUEST_LV_0100_20151016_010168	Materias Educativos da Kedoran Merchant Alliance
QUEST_LV_0100_20151016_010169	Visite Margellius, que é o responsável pelos registros. Ele parece precisar de ajuda.
QUEST_LV_0100_20151016_010170	Orientações Educacionais da Kedoran Merchant Alliance
QUEST_LV_0100_20151016_010171	Recupere os Materias Educativos da Kedoran Merchant Alliance dos monstros.
QUEST_LV_0100_20151016_010172	Recuperou todo o material educacional. Entregue-os para Margellius.
QUEST_LV_0100_20151016_010173	Normas Educacionas da Kedoran Merchant Alliance
QUEST_LV_0100_20151016_010174	Pergunte à Margellius se há mais algo a ser feito.
QUEST_LV_0100_20151016_010175	Para fazer o material educacional, uma tinta especial é necessária. Para faze-la, você precisa de fluidos dos monstros. Utilize as armadilhas que Margellius fez para prender os monstors e obter os fluidos. Lembre-se que os montros morrerão rapidamente depois de presos, então seja rápido.
QUEST_LV_0100_20151016_010176	Erguendo a Lápide
QUEST_LV_0100_20151016_010177	Procurando Materiais para a Lápide
QUEST_LV_0100_20151016_010178	Nestopa está trabalhando silenciosamente em Fasika Plateau. Enquanto isso, Antanas está erguendo lápides. Ajude-a levando os materiais necessários.
QUEST_LV_0100_20151016_010179	Adquirido todo o materia necessário para as lápides. Retorne para Antanas.
QUEST_LV_0100_20151016_010180	Pergunte-a se, agora que possui todos os materiais, ela conseguirá fazer as lápides.
QUEST_LV_0100_20151016_010181	Siga suas instruções e construa uma lápide com os materiais que possui.
QUEST_LV_0100_20151016_010182	Você trabalhou bem. Diga adeus à Antanas e continue seu caminho.
QUEST_LV_0100_20151016_010183	Agora, fale com Giedra.
QUEST_LV_0100_20151016_010184	Placa Perdida
QUEST_LV_0100_20151016_010185	Vá para Kestas, outro membro de Nestopa.
QUEST_LV_0100_20151016_010186	Recupere Nestos's Sign
QUEST_LV_0100_20151016_010187	Recupere Nestos's Signs dos monstros ao redor e devolva-as para Kestas.
QUEST_LV_0100_20151016_010188	Devolvendo a Marca
QUEST_LV_0100_20151016_010189	Conseguiu marcas suficientes. Retorne-as para Kestas.
QUEST_LV_0100_20151016_010190	Derrite estes monstros. Eles estão atrás das marcas.
QUEST_LV_0100_20151016_010191	Converse mais com Kestas.
QUEST_LV_0100_20151016_010192	Derrote os montros que estão atrás dos registros.
QUEST_LV_0100_20151016_010193	Fale com a Grave Robber Amanda na área habitacional
QUEST_LV_0100_20151016_010194	Você encontrou um pergaminho estranho na área secreta. Retorne para Amanda e fale com ela de novo.
QUEST_LV_0100_20151016_010195	O baú que Amanda viu, com um poder especial dentro dele, na verdade contém monstros. Destrua-os primeiro.
QUEST_LV_0100_20151016_010196	Os monstros foram derrotados. Fale novamente com Amanda.
QUEST_LV_0100_20151016_010197	Amanda ficou incrivelmente nervosa depois de seu monóculo não ter funcionado. Fale com ela.
QUEST_LV_0100_20151016_010198	Amanda sugere separarem-se e procurar pelo poder especial. Destrua os montros em Bingcoolers Path e procure por este poder.
QUEST_LV_0100_20151016_010199	Nada diferente aqui. Retorne para Amanda.
QUEST_LV_0100_20151016_010200	Todo este trabalho para nada. Fale com Amanda novamente.
QUEST_LV_0100_20151016_010201	Procure em Leima Small Square
QUEST_LV_0100_20151016_010202	Amanda disse que viu algo grande em leima Small Square. Descubra o que foi que ela viu.
QUEST_LV_0100_20151016_010203	Somente um velho gerente estava em Leima Small Square. pergunte à este gerente o que está acontecendo.
QUEST_LV_0100_20151016_010204	O Velho Gerente ficou feliz em saber de sua busca pela Revelação. Fale com ele novamente.
QUEST_LV_0100_20151016_010205	Colete Mushrooms
QUEST_LV_0100_20151016_010206	O Velho Gerente disse que, para conseguir passar pelas armadilhas, você precisará de uma liberação. Para consegui-la colete alguns Mushrooms. No caminho para consegui-los, fale com Amanda para explicar a situação.
QUEST_LV_0100_20151016_010207	Entregue para o Velho Gerente
QUEST_LV_0100_20151016_010208	Você disse à Amanda o que aconteceu e coletou Mushrooms suficientes. Entregue-os para o Velho Gerente.
QUEST_LV_0100_20151016_010209	Para Storage Quarter
QUEST_LV_0100_20151016_010210	Você coletou Mushrooms suficientes para a liberação. Pergunte ao Velho Gerente o que mais precisa.
QUEST_LV_0100_20151016_010211	Colete Earth Crystals
QUEST_LV_0100_20151016_010212	O Velho Gerente disse que precisa injetar magia nesses Mushrooms, mas seu corpo velho e fraco não pode mais com feitiços. Derrote alguns monstros e colete Earth Crystals, ótimos substitutos.
QUEST_LV_0100_20151016_010213	Você coletou Earth Crystals suficientes. Entregue-os ao Velho Gerente.
QUEST_LV_0100_20151016_010214	Você finalmente conseguiu a liberação que permite passar em segurança para o Storage Quarter. Fale com o Velho Gerente.
QUEST_LV_0100_20151016_010215	O Velho Gerente já foi para Storage Quarter e vai te esperar lá. Esta é a chance para deixar um aviso para Amanda conseguir sua própria liberação.
QUEST_LV_0100_20151016_010216	Fale com o Velho Gerente em Storage Quarter
QUEST_LV_0100_20151016_010217	Finalizou o aviso apra Amanda. Fale com o Velho Gerente em Storage Quarter.
QUEST_LV_0100_20151016_010218	Você achou o Velho Gerente. Pergunte o que fazer para achar a Revelação.
QUEST_LV_0100_20151016_010219	Colete Rajatad's Egg
QUEST_LV_0100_20151016_010220	Os Espíritos da época de Ruklys sabem onde está a Revelação, mas eles estão muito violentos. Colete Rajatad's Egg para fazer um Restraint Token.
QUEST_LV_0100_20151016_010221	Você conseguiu os Rajatad's Egg. Entregue-os para o Velho Gerente.
QUEST_LV_0100_20151016_010222	O próximo item vem agora. Fale com o Velho Gerente novamente.
QUEST_LV_0100_20151016_010223	Colete Demon Bones
QUEST_LV_0100_20151016_010224	O Restraint Token vai segurar os espíritos e acalma-los o suficiente para falarem. Você precisa de Demon Bones para finaliza-lo. Derrote os demônios para conseguir seus ossos.
QUEST_LV_0100_20151016_010225	Conseguiu os Demon Bones. Fale com o Velho Gerente.
QUEST_LV_0100_20151016_010226	Você terminou o primeiro passo para o Restraint Token. Fale com o Velho Gerente sobre o segundo passo.
QUEST_LV_0100_20151016_010227	Absorva a vitalidade dos demônios com o Absorption Orb
QUEST_LV_0100_20151016_010228	A vitalidade dos demônios é necessária para criar o Restraint Token. Coloque o Absorption Orb perto dos demônios.
QUEST_LV_0100_20151016_010229	Preenchido o orbe com a vitalidade dos demônios. Fale com o Velho Gerente.
QUEST_LV_0100_20151016_010230	O Absorption Orb está completo. Fale com o Velho Gerente para ler a memória dos espíritos.
