QUEST_LV_0200_20150317_000001	$Soldado de Philipas
QUEST_LV_0200_20150323_004513	$Hauberk no Labirinto (3)
QUEST_LV_0200_20150323_004514	{memo X}Preciso de mais tempo
QUEST_LV_0200_20150323_004515	$Hauberk no Labirinto (4)
QUEST_LV_0200_20150323_004516	Com certeza vou pegá-lo
QUEST_LV_0200_20150323_004517	Peça para ela esperar
QUEST_LV_0200_20150323_004518	$Hauberk no Labirinto (5)
QUEST_LV_0200_20150323_004519	Vou me preparar bastante
QUEST_LV_0200_20150323_004520	$A Fenda Dimensional (1)
QUEST_LV_0200_20150323_004521	{memo X}Acabei de chegar
QUEST_LV_0200_20150323_004522	{memo X}Ainda há uma tarefa a fazer
QUEST_LV_0200_20150323_004523	$A Fenda Dimensional (2)
QUEST_LV_0200_20150323_004524	{memo X}Vou voltar depois de preencher
QUEST_LV_0200_20150323_004525	$A Fenda Dimensional (3)
QUEST_LV_0200_20150323_004526	$A Fenda Dimensional (4)
QUEST_LV_0200_20150323_004527	$A Fenda Dimensional (5)
QUEST_LV_0200_20150323_004528	$A Fenda Dimensional (6)
QUEST_LV_0200_20150323_004529	Diga que estará pronto logo
QUEST_LV_0200_20150323_004530	$Fechando a Porta
QUEST_LV_0200_20150323_004531	Diga a ela que há um problema mais urgente
QUEST_LV_0200_20150323_004532	$Conforme com o Dever
QUEST_LV_0200_20150323_004533	{memo X}Com certeza vou recuperar
QUEST_LV_0200_20150323_004534	$Derrota Despropositada
QUEST_LV_0200_20150323_004535	Vou voltar depois de vencer
QUEST_LV_0200_20150323_004536	Faço isso na próxima vez
QUEST_LV_0200_20150323_004537	$Recuperando o Prestígio
QUEST_LV_0200_20150323_004538	$A Fúria
QUEST_LV_0200_20150323_004539	$Estrela Perdida
QUEST_LV_0200_20150323_004540	$Olhos das Deusas
QUEST_LV_0200_20150323_004541	Cuido disso mais tarde
QUEST_LV_0200_20150323_004542	$O Traidor Escondido
QUEST_LV_0200_20150323_004543	$Demônios na Encruzilhada
QUEST_LV_0200_20150323_004544	$Sem Saída
QUEST_LV_0200_20150323_004545	$Comida para Dionysus
QUEST_LV_0200_20150323_004546	$Elimine as Pequenas Fendas
QUEST_LV_0200_20150323_004547	$Árvore Misteriosa
QUEST_LV_0200_20150323_004548	Recuse, pois você ainda tem tarefas a concluir
QUEST_LV_0200_20150323_004549	Sobre a garota misteriosa
QUEST_LV_0200_20150323_004550	$Poder Desconhecido
QUEST_LV_0200_20150323_004551	Pergunte se pode ajudar com mais alguma coisa
QUEST_LV_0200_20150323_004552	Vá embora, pois você já o ajudou
QUEST_LV_0200_20150323_004553	$O Resultado do Teste de Purificação
QUEST_LV_0200_20150323_004554	Diga a ele que vai dar tudo certo
QUEST_LV_0200_20150323_004555	Vá embora, pois você já fez todas as tarefas
QUEST_LV_0200_20150323_004556	$Preparando Purificação em Grande Escala
QUEST_LV_0200_20150323_004557	Vou pegar para ele
QUEST_LV_0200_20150323_004558	Não posso ajudar com isso
QUEST_LV_0200_20150323_004559	$Entrega de Caixa
QUEST_LV_0200_20150323_004560	{memo X}Aviso/Nenhum/Enquanto procurava na terra, você encontrou uma pequena caixa.#3
QUEST_LV_0200_20150323_004561	$Está Tudo Acabado
QUEST_LV_0200_20150323_004562	Pergunte qual é o problema para ajudar
QUEST_LV_0200_20150323_004563	Ignore e siga seu caminho
QUEST_LV_0200_20150323_004564	Sobre a fazenda da família Greene
QUEST_LV_0200_20150323_004565	$Casamento
QUEST_LV_0200_20150323_004566	Vou me livrar dos dentes-de-leão
QUEST_LV_0200_20150323_004567	Vá embora, pois tem o que fazer
QUEST_LV_0200_20150323_004568	$Povo Não Confiável
QUEST_LV_0200_20150323_004569	$Grande Inconveniência
QUEST_LV_0200_20150323_004570	Vou encontrar a bagagem dele
QUEST_LV_0200_20150323_004571	$A Investigação de Klaipeda
QUEST_LV_0200_20150323_004572	Fale para ele pedir ajuda de outras pessoas
QUEST_LV_0200_20150323_004573	$Um Bom Sinal
QUEST_LV_0200_20150323_004574	$A Tirania do Supervisor
QUEST_LV_0200_20150323_004575	Vou ouvir o que ele quer
QUEST_LV_0200_20150323_004576	Não quero que me controlem
QUEST_LV_0200_20150323_004577	Sobre a fazenda da família Shaton
QUEST_LV_0200_20150323_004578	{memo X}Cuide da minha família primeiro
QUEST_LV_0200_20150323_004579	Não quero me envolver nesse tipo de assunto
QUEST_LV_0200_20150323_004580	$O Paradeiro do Druida
QUEST_LV_0200_20150323_004581	$Fazendeiros em Perigo
QUEST_LV_0200_20150323_004582	Vou salvar as pessoas primeiro
QUEST_LV_0200_20150323_004583	Sobre a Corrupção na Fazenda
QUEST_LV_0200_20150323_004584	$Sementes Antigas (1)
QUEST_LV_0200_20150323_004585	Diga a ele que você não pode concluir as tarefas
QUEST_LV_0200_20150323_004586	Sobre as sementes
QUEST_LV_0200_20150323_004587	$Sementes Antigas (2)
QUEST_LV_0200_20150323_004588	Vou buscar a água
QUEST_LV_0200_20150323_004589	Diga que vai dar tudo certo
QUEST_LV_0200_20150323_004590	$Sementes Antigas (3)
QUEST_LV_0200_20150323_004591	$Fervido a Vapor
QUEST_LV_0200_20150323_004592	Pergunte se você pode ficar na fazenda
QUEST_LV_0200_20150323_004593	Vá embora da fazenda
QUEST_LV_0200_20150323_004594	{memo X}Encontre um inimigo em uma ponte de madeira
QUEST_LV_0200_20150323_004595	Vou embora da fazenda
QUEST_LV_0200_20150323_004596	$Colheita Intencionalmente Arruinada
QUEST_LV_0200_20150323_004597	Pergunte qual é o problema para ajudar
QUEST_LV_0200_20150323_004598	Recuse, pois não se sente bem com isso
QUEST_LV_0200_20150323_004599	Sobre as plantações na fazenda
QUEST_LV_0200_20150323_004600	$Resultados Inesperados
QUEST_LV_0200_20150323_004601	Diga para não se preocupar, pois você vai derrotá-los
QUEST_LV_0200_20150323_004602	Diga para se livrar deles sozinha
QUEST_LV_0200_20150323_004603	$Trabalho de Hoje
QUEST_LV_0200_20150323_004604	Diga que isso é difícil
QUEST_LV_0200_20150323_004605	Sobre os administradores da fazenda da família Shaton
QUEST_LV_0200_20150323_004606	$Sementes Escondidas
QUEST_LV_0200_20150323_004607	Vou encontrar as sementes para ele
QUEST_LV_0200_20150323_004608	$O Teimoso Proprietário da Fazenda
QUEST_LV_0200_20150323_004609	Vou tentar convencê-lo
QUEST_LV_0200_20150323_004610	Diga que nem um Revelador é capaz disso
QUEST_LV_0200_20150323_004611	$A Chave para a Persuasão
QUEST_LV_0200_20150323_004612	Eu não quero me envolver
QUEST_LV_0200_20150323_004613	Sobre Gord Shaton
QUEST_LV_0200_20150323_004614	$A Vingança Será Minha
QUEST_LV_0200_20150323_004615	Tente convencê-lo mais uma vez
QUEST_LV_0200_20150323_004616	Vá embora, pois ele parece estar de mau humor
QUEST_LV_0200_20150323_004617	$Para o Pai, Pelo Pai
QUEST_LV_0200_20150323_004618	Ele pode fazer algo perigoso, então continue observando-o
QUEST_LV_0200_20150323_004619	Vá embora, pois sente algo perigoso aqui
QUEST_LV_0200_20150323_004620	{memo X}A obsessão e o arrependimento
QUEST_LV_0200_20150323_004621	$Só o Começo
QUEST_LV_0200_20150323_004622	Vou falar com Vanessa Shaton
QUEST_LV_0200_20150323_004623	Diga a ele que o druida deve cuidar de tudo agora
QUEST_LV_0200_20150323_004624	$Tudo Por Nosso Mestre
QUEST_LV_0200_20150323_004625	Eu concordo
QUEST_LV_0200_20150323_004626	Diga que isso não é certo
QUEST_LV_0200_20150323_004627	{memo X}A misericórdia para todos
QUEST_LV_0200_20150323_004628	Vou encontrar a bolsa com o remédio
QUEST_LV_0200_20150323_004629	$O Túnel Subterrâneo
QUEST_LV_0200_20150323_004630	Recuse, pois você não se sente bem com isso
QUEST_LV_0200_20150323_004631	Passe a responsabilidade para outra pessoa
QUEST_LV_0200_20150323_004632	Você sente algo estranho, mas se responsabilizará por isso
QUEST_LV_0200_20150323_004633	Recuse, pois você acabou de fazer o que mandaram
QUEST_LV_0200_20150323_004634	{memo X}Aquele que sabe o valor dos objetos
QUEST_LV_0200_20150323_004635	{memo X}Vou ajudar
QUEST_LV_0200_20150323_004636	{memo X}Não podem fazer o que querem comigo
QUEST_LV_0200_20150323_004637	$O Isolado
QUEST_LV_0200_20150323_004638	Vou levá-lo
QUEST_LV_0200_20150323_004639	Diga a ele que vá sozinho
QUEST_LV_0200_20150323_004640	{memo X}Derrote os Espíritos da Floresta, a origem dos rumores no Porto de Paupys.
QUEST_LV_0200_20150323_004641	{memo X}Você finalmente derrotou os Espíritos da Floresta, a origem dos rumores no Porto de Paupys. Encontre Yukirt, membro da equipe de investigação do reino.
QUEST_LV_0200_20150323_004642	{memo X}Há os pertences de um soldado desconhecido que morreu no Campo Saknis por causa dos monstros. Ele pode ser o dono do colar que você pegou na última vez. Coloque o colar nele e reze.
QUEST_LV_0200_20150323_004643	Entre na Área de Verkti
QUEST_LV_0200_20150323_004644	{memo X}Entre na Área de Verkti
QUEST_LV_0200_20150323_004645	O Guarda do Exército Real Retia precisa de ajuda na Área de Verkti
QUEST_LV_0200_20150323_004646	{memo X}O Guarda do Exército Real Retia quer que você verifique os dispositivos de busca instalados em vários locais da Área de Verkti para prever corretamente as futuras Geadas de Pedra.
QUEST_LV_0200_20150323_004647	O Ladrão de Túmulos Hubertas precisa de ajuda na Área de Verkti
QUEST_LV_0200_20150323_004648	O Ladrão de Túmulos Benjaminas precisa de ajuda na Área de Verkti.
QUEST_LV_0200_20150323_004649	O Guarda Gofden precisa de ajuda no Mercado de Roxona, a Cidade Petrificada.
QUEST_LV_0200_20150323_004650	O Criomante Kostas precisa de ajuda no Mercado de Roxona, a Cidade Petrificada.
QUEST_LV_0200_20150323_004651	{memo X}O Criomante Kostas precisa de ajuda para concluir seu experimento no Mercado de Roxona, a Cidade Petrificada.
QUEST_LV_0200_20150323_004652	O Ladrão de Túmulos Rudolfas precisa de ajuda no Mercado de Roxona, a Cidade Petrificada.
QUEST_LV_0200_20150323_004653	Derrote os monstros no Pico Dvasia
QUEST_LV_0200_20150323_004654	O Cavaleiro Titas disse que é melhor ajudar o esquadrão de Julian que está tentando adentrar a Passagem do Grande Rei a partir do Pico Dvasia. Derrote 100 monstros no Pico Dvasia.
QUEST_LV_0200_20150323_004655	Você derrotou vários monstros no Pico Dvasia. Fale com o Comandante Julian.
QUEST_LV_0200_20150323_004656	Derrote os monstros no Pico Dvasia
QUEST_LV_0200_20150323_004657	Remova %s
QUEST_LV_0200_20150323_004658	Fale com Maras, que está investigando a Floresta Vilna
QUEST_LV_0200_20150323_004659	Espalhe o aroma de mel nos monstros
QUEST_LV_0200_20150323_004660	A Sacerdotisa Raeli foi embora depois de lhe dizer para ir à Terra Agrícola de Uskis. Siga-a até a Terra Agrícola de Uskis.
QUEST_LV_0200_20150323_004661	Verifique o altar ao norte da Floresta Vilna
QUEST_LV_0200_20150323_004662	Verifique o altar ao norte da Floresta Vilna
QUEST_LV_0200_20150323_004663	Derrote o Ciclope no altar da Floresta Vilna
QUEST_LV_0200_20150323_004664	Derrote o Ciclope no altar da Floresta Vilna
QUEST_LV_0200_20150323_004665	$Fale com o Fazendeiro Druva
QUEST_LV_0200_20150323_004666	$O Fazendeiro Druva está procurando alguém para ajudá-lo. Fale com o Fazendeiro Druva.
QUEST_LV_0200_20150323_004667	$O Fazendeiro Druva quer montar um espantalho para afastar os monstros. Pegue madeira de carvalho para construir o espantalho.
QUEST_LV_0200_20150323_004668	$Você colheu toda a madeira de carvalho. Encontre o Fazendeiro Druva.
QUEST_LV_0200_20150323_004669	$Você pegou a madeira de carvalho para o Fazendeiro Druva. Pergunte o que fazer depois.
QUEST_LV_0200_20150323_004670	$Coloque o novo espantalho do Fazendeiro Druva com o amuleto na fazenda, do lado esquerdo da Encruzilhada Arkllui, e observe a reação dos monstros.
QUEST_LV_0200_20150323_004671	O Aldeão Emil disse que é perigoso demais ir até a Floresta Vilna. Derrote os monstros da área para que ele prossiga em segurança.
QUEST_LV_0200_20150323_004672	Derrote os monstros na Floresta da Oração
QUEST_LV_0200_20150323_004673	O Comandante Uska disse que vários monstros surgiram das profundezas da floresta, mas ele não pode fazer nada por não ter soldados suficientes. Derrote 100 monstros na Floresta da Oração para ajudar os cavaleiros.
QUEST_LV_0200_20150323_004674	Você derrotou todos os monstros na Floresta da Oração. Encontre Uska e tranquilize-o.
QUEST_LV_0200_20150323_004675	Derrote os monstros na Floresta da Oração
QUEST_LV_0200_20150323_004676	$Fale com a Peregrina Liliya
QUEST_LV_0200_20150323_004677	$Você encontra Liliya na Rota do Demônio Faminto. Ela está desesperada por alguma coisa. Aproxime-se e fale com ela.
QUEST_LV_0200_20150323_004678	$Obtenha carne de monstro
QUEST_LV_0200_20150323_004679	{memo X}A Peregrina Liliya disse estar faminta. Pegue qualquer comida que conseguir encontrar. Pegue carne comestível dos monstros.
QUEST_LV_0200_20150323_004680	$Entregue-as para a Peregrina Liliya
QUEST_LV_0200_20150323_004681	$Você pegou o suficiente para comer por três dias sem preocupações. Leve a carne para ela.
QUEST_LV_0200_20150323_004682	{memo X}Obtenha %s dos monstros
QUEST_LV_0200_20150323_004683	$Pegue Folhas Jovens
QUEST_LV_0200_20150323_004684	$A Peregrina Liliya quer mais, mesmo tendo comido bastante. Pegue Folhas Jovens para Liliya.
QUEST_LV_0200_20150323_004685	$Você pegou várias Folhas Jovens. Entregue-as para a Peregrina Liliya.
QUEST_LV_0200_20150323_004686	{memo X}Extraia %s das plantas selvagens
QUEST_LV_0200_20150323_004687	$A fome da Peregrina Liliya passou? Fale com ela novamente
QUEST_LV_0200_20150323_004688	$Fale com a Peregrina Liliya
QUEST_LV_0200_20150323_004689	$A Peregrina Liliya apareceu novamente no local onde a Carnívora foi derrotada. Fale com Liliya novamente.
QUEST_LV_0200_20150323_004690	$Derrote Liliya, que se transformou em uma Carnívora
QUEST_LV_0200_20150323_004691	$Faça um túmulo para a Peregrina Liliya
QUEST_LV_0200_20150323_004692	$Liliya está morrendo... Escute as últimas palavras dela
QUEST_LV_0200_20150323_004693	$Liliya faleceu. Faça um túmulo para Liliya.
QUEST_LV_0200_20150323_004694	{memo X}O Peregrino Julius não consegue se mover, pois está faminto. Pegue um pouco de carne dos monstros.
QUEST_LV_0200_20150323_004695	{memo X}Você conseguiu carne suficiente dos monstros. Entregue-as para o Peregrino Julius.
QUEST_LV_0200_20150323_004696	Obtenha %s dos monstros
QUEST_LV_0200_20150323_004697	$Fale com Julius enquanto come a carne de monstro.
QUEST_LV_0200_20150323_004698	{memo X}O Peregrino Julius se transformou em um Drapélio depois de ver a caixa de música. Acalme o Drapélio que está atacando.
QUEST_LV_0200_20150323_004699	$Parece que o Peregrino Julius recobrou a consciência. Fale com ele.
QUEST_LV_0200_20150323_004700	$Obtenha Brotos de Folha de Asellu
QUEST_LV_0200_20150323_004701	$O Peregrino Julius ainda está sob influência da maldição. Obtenha Brotos de Folha de Asellu na Floresta da Árvore Oca para recuperá-lo.
QUEST_LV_0200_20150323_004702	$Você conseguiu Brotos de Folha de Asellu. Entregue-os para o Peregrino Julius.
QUEST_LV_0200_20150323_004703	Procure em meio à carne podre no Refúgio Asceta.
QUEST_LV_0200_20150323_004704	$Julius e Liliya encontraram Naktis nessa região. Será que o colar de Liliya está por aqui?
QUEST_LV_0200_20150323_004705	$O Peregrino Zenius está protegendo a comida na Rota do Demônio Faminto. Ele parece ter uma história para contar. Fale com ele.
QUEST_LV_0200_20150323_004706	$Um homem roubou comida que o Peregrino Zenius estava protegendo. Fale com Zenius.
QUEST_LV_0200_20150323_004707	$O Peregrino Zenius disse que o homem era filho dele e quer que você elimine sua maldição. Derrote os monstros da área primeiro.
QUEST_LV_0200_20150323_004708	$O Peregrino Zenius quer ajudar seu filho. Fale com Zenius.
QUEST_LV_0200_20150323_004709	$Teste os monstros com Restos de Comida
QUEST_LV_0200_20150323_004710	$O Peregrino Zenius disse que se você jogar Restos de Comida para os monstros, alguns deles podem comer. Derrote os monstros que comeram os Restos de Comida e pegue a Energia Maldita Concentrada. Você pode obter mais comida na pilha da Praça Ishblysh.
QUEST_LV_0200_20150323_004711	Você conseguiu Energia Maldita Concentrada suficiente dos monstros. Leve para o Peregrino Julius.
QUEST_LV_0200_20150323_004712	Limpe as pilhas de comida
QUEST_LV_0200_20150323_004713	As pilhas de comida obtidas pelas pessoas amaldiçoadas estão apodrecendo em várias partes da Rota do Demônio Faminto. Procure as pilhas de comida.
QUEST_LV_0200_20150323_004714	Procure as pilhas de comida
QUEST_LV_0200_20150323_004715	As pilhas de comida obtidas pelas pessoas amaldiçoadas estão apodrecendo em várias partes da Rota do Demônio Faminto. Limpe as pilhas de comida.
QUEST_LV_0200_20150323_004716	{memo X}Destrua a barreira protetora corrompida
QUEST_LV_0200_20150323_004717	{memo X}Quando você estava prestes a observar os Cristais de Raiz de Árvore, surgiram barreiras que protegiam os cristais! Destrua todas as barreiras antes que desapareçam.
QUEST_LV_0200_20150323_004718	$Cristal de Raiz de Árvore Corrompido no Acampamento Nômade
QUEST_LV_0200_20150323_004719	$Há um Cristal de Raiz de Árvore no Acampamento Nômade com a Maldição da Preguiça de Naktis. É melhor verificar.
QUEST_LV_0200_20150323_004720	$Destrua o Cerne do Cristal de Raiz de Árvore Reformado
QUEST_LV_0200_20150323_004721	$Enquanto você tentava destruir o Cristal de Raiz de Árvore no Acampamento Nômade, ele consumiu seu vigor e espalhou o Cerne por toda parte. Encontre os pedaços e destrua-os.
QUEST_LV_0200_20150323_004722	$Você destruiu todos os Cernes do cristal. Agora tente destruir o Cristal de Raiz de Árvore transformado.
QUEST_LV_0200_20150323_004723	$Cristal de Raiz de Árvore Corrompido na Costa Zakole
QUEST_LV_0200_20150323_004724	$Há um Cristal de Raiz de Árvore Corrompido na Costa Zakole. É melhor queimá-lo e destruí-lo.
QUEST_LV_0200_20150323_004725	{memo X}Queime os cristais
QUEST_LV_0200_20150323_004726	{memo X}Você pôs fogo nos Cristais de Raiz de Árvore, mas as chamas estão fracas. Pegue gravetos dos monstros e jogue-os no fogo.
QUEST_LV_0200_20150323_004727	$Destrua o Cristal de Raiz de Árvore na Costa Zakole
QUEST_LV_0200_20150323_004728	$O Cristal de Raiz de Árvore Corrompido está queimando. Agora destrua o Cristal de Raiz de Árvore.
QUEST_LV_0200_20150323_004729	$Cristal de Raiz de Árvore Corrompido no lado direito do Túmulo do Peregrino
QUEST_LV_0200_20150323_004730	$Há um Cristal de Raiz de Árvore Corrompido no lado direito do Túmulo do Peregrino. Para eliminar a maldição desta terra, você também deve destruir este Cristal de Raiz de Árvore.
QUEST_LV_0200_20150323_004731	$Cristal de Raiz de Árvore da Preguiça na Estrada Paskuti
QUEST_LV_0200_20150323_004732	$Há um Cristal de Raiz de Árvore na Estrada Paskuti. Aproxime-se e observe-o com cuidado.
QUEST_LV_0200_20150323_004733	$Procure o Cerne do Cristal de Raiz de Árvore com os monstros
QUEST_LV_0200_20150323_004734	{memo X}Os Cristais de Raiz de Árvore estão reagindo de modo estranho e contaminaram o ambiente! É melhor encontrar os Cernes dos Cristais de Raiz de Árvore com os monstros da área.
QUEST_LV_0200_20150323_004735	$Você coletou todos os Cernes do Cristal de Raiz de Árvore. Com eles, lacre o Cristal de Raiz de Árvore Corrompido.
QUEST_LV_0200_20150323_004736	$O Cristal de Raiz de Árvore na Fonte Noreti
QUEST_LV_0200_20150323_004737	$Há um Cristal de Raiz de Árvore na Fonte Noreti. Aproxime-se e inspecione-o para descobrir como resolver a Maldição da Preguiça.
QUEST_LV_0200_20150323_004738	$Encontre o Cristal verdadeiro em meio aos Cristais de Raiz de Árvore invocados e destrua-o.
QUEST_LV_0200_20150323_004739	$Enquanto você observava o Cristal de Raiz de Árvore, vários Cristais de Raiz de Árvore foram invocados! Encontre o verdadeiro em meio aos Cristais de Raiz de Árvore invocados e destrua-o.
QUEST_LV_0200_20150323_004740	$Investigue os Cristais de Raiz de Árvore no Caminho do Altar.
QUEST_LV_0200_20150323_004741	$Há um Cristal de Raiz de Árvore Corrompido gigante no Caminho do Altar. Parece diferente dos outros Cristais de Raiz de Árvore. Aproxime-se e observe-o.
QUEST_LV_0200_20150323_004742	$Você viu um baú do tesouro perto do Túmulo do Peregrino. Aproxime-se e abra-o.
QUEST_LV_0200_20150323_004743	$Devolva a energia maligna para o Baú do Tesouro
QUEST_LV_0200_20150323_004744	$Energia maligna saiu do Baú do Tesouro e possuiu os monstros. Derrote os monstros perto do Baú do Tesouro para devolver a energia maligna para dentro.
QUEST_LV_0200_20150323_004745	$O Peregrino Gracius parece tentar libertar almas. Aproxime-se do Peregrino Gracius e fale com ele.
QUEST_LV_0200_20150323_004746	$O Peregrino Gracius quer que você reze em frente ao altar. Reze primeiro para amenizar as dúvidas do Peregrino Gracius e fale com ele.
QUEST_LV_0200_20150323_004747	$O Peregrino Gracius pareceu surpreso depois de ver seu rosto. Fale com ele novamente.
QUEST_LV_0200_20150323_004748	{memo X}Vamos testar a eficácia do remédio que Gracius lhe deu. Aproxime-se dos monstros perto da Trilha Rudizil e teste o remédio.
QUEST_LV_0200_20150323_004749	$Conte os resultados para o Peregrino Gracius
QUEST_LV_0200_20150323_004750	$Parece que o teste fracassou. Conte para o Peregrino Gracius.
QUEST_LV_0200_20150323_004751	$Você contou para o Peregrino Gracius que o reagente não funcionou. Pergunte o que fazer depois.
QUEST_LV_0200_20150323_004752	$O último passo necessário para o experimento era uma escritura. Você deve encontrá-la no altar da parte superior da Trilha Rudizil.
QUEST_LV_0200_20150323_004753	$Entregue a Escritura para o Peregrino Gracius.
QUEST_LV_0200_20150323_004754	$Ouça a história do Peregrino Gracius sobre este lugar.
QUEST_LV_0200_20150323_004755	$Liberte as almas dos monstros
QUEST_LV_0200_20150323_004756	$Ao usar o Reagente que o Peregrino Gracius lhe deu, você poderá enxergar quais monstros têm almas aprisionadas. Derrote esses monstros.
QUEST_LV_0200_20150323_004757	$Fale com o Peregrino Gracius para salvar as almas aprisionadas em cada altar.
QUEST_LV_0200_20150323_004758	$Salve as almas nos altares
QUEST_LV_0200_20150323_004759	$Salve as almas aprisionadas nos altares. São quatro altares no total a caminho da Floresta da Oração. Estão no Morro Chliz, nas Colinas Branginti e perto da Floresta da Oração.
QUEST_LV_0200_20150323_004760	$Você salvou todas as almas aprisionadas. Encontre o Peregrino Gracius.
QUEST_LV_0200_20150323_004761	$Há um altar no Morro Chliz. Reze pelas almas aprisionadas no altar.
QUEST_LV_0200_20150323_004762	$Colha flores para as almas furiosas
QUEST_LV_0200_20150323_004763	$Ao subir o Morro Chliz, você vê a alma furiosa aprisionada no altar. Investigue o altar.
QUEST_LV_0200_20150323_004764	$Há vários altares no Caminho do Altar. Investigue o altar nas Colinas Branginti para descobrir a história por trás disso.
QUEST_LV_0200_20150323_004765	$Obtenha %s dos monstros
QUEST_LV_0200_20150323_004766	$Obtenha as Páginas da Escritura dos monstros
QUEST_LV_0200_20150323_004767	$O altar perto da Floresta da Oração
QUEST_LV_0200_20150323_004768	$Parece que algumas almas estão aprisionadas no altar a caminho da Floresta da Oração. Aproxime-se e verifique.
QUEST_LV_0200_20150323_004769	{memo X}O Lorde do Fogo está escondido no altar em vez das almas aprisionadas. Derrote o Lorde do Fogo antes que entre em perigo.
QUEST_LV_0200_20150323_004770	$Há vários altares no Caminho do Altar. O altar na parte superior da Trilha Rudizil está quebrado, então você não sabe se está funcionando. Aproxime-se e observe-o.
QUEST_LV_0200_20150323_004771	$A fúria do altar na Estrada Oshimas pode ser acalmada com a Secreção Fria obtida dos monstros. Derrote os monstros perto do altar e obtenha a Secreção Fria.
QUEST_LV_0200_20150323_004772	$Receba a Bênção do Sacrário ao ler o aviso próximo.
QUEST_LV_0200_20150323_004773	$Você pode receber a bênção desse sacrário ao fazer doações, mas o valor da doação difere para cada pessoa. Faça uma doação e receba a bênção.
QUEST_LV_0200_20150323_004774	$Atraia os monstros até o Sacrário e derrote-os
QUEST_LV_0200_20150323_004775	$Você precisa de sacrifícios para receber a bênção daqui. Atraia os monstros até o Sacrário e derrote-os.
QUEST_LV_0200_20150323_004776	$Você ofereceu monstros suficientes como sacrifício. Reze para receber a bênção.
QUEST_LV_0200_20150323_004777	{memo X}Monstros surgiram enquanto você rezava em frente ao Sacrário. É melhor derrotá-los primeiro.
QUEST_LV_0200_20150323_004778	$Precisamos encontrar uma maneira de purificar o Sacrário. Encontre o Mestre Sacerdote que gerencia o Sacrário.
QUEST_LV_0200_20150323_004779	Primeiro, devemos purificar o Sacrário corrompido na Colina Pamaish. Veja o que fazer com o Mestre Sacerdote.
QUEST_LV_0200_20150323_004780	$Purifique o Sacrário com Água Benta
QUEST_LV_0200_20150323_004781	O Mestre Sacerdote quer que você purifique o Sacrário na Colina Pamaish usando Água Benta. Volte para a Floresta da Oração e purifique o Sacrário corrompido.
QUEST_LV_0200_20150323_004782	Reze em frente à Estátua da Deusa perto do túmulo do santo
QUEST_LV_0200_20150323_004783	A Estátua da Deusa está perto do túmulo do santo. Reze em frente à estátua.
QUEST_LV_0200_20150323_004784	A estátua era falsa. Derrote o Sparnas de Chifres que estava disfarçado de Estátua da Deusa.
QUEST_LV_0200_20150323_004785	$Há uma Estátua da Deusa na parte inferior da Trilha Malone. Vamos descobrir qual é a estátua real.
QUEST_LV_0200_20150323_004786	$Peça conselhos para o Escultor Tesla
QUEST_LV_0200_20150323_004787	$Esta Estátua da Deusa parece ter algum problema. Encontre o Escultor Tesla e pergunte o que fazer.
QUEST_LV_0200_20150323_004788	$Fale com Tesla sobre a Estátua da Deusa que não responde
QUEST_LV_0200_20150323_004789	$Volte para a Floresta da Oração
QUEST_LV_0200_20150323_004790	$O Escultor Tesla lhe disse como consertar a Estátua da Deusa. Volte para a Floresta da Oração para consertar a Estátua.
QUEST_LV_0200_20150323_004791	$Examine a Estátua da Deusa
QUEST_LV_0200_20150323_004792	$Primeiro, examine a Estátua. Você deve saber que problemas existem antes de consertá-la.
QUEST_LV_0200_20150323_004793	$Obtenha os materiais para consertar a Estátua da Deusa
QUEST_LV_0200_20150323_004794	$Obtenha os materiais para consertar a Estátua da Deusa como o Escultor Tesla disse. Você pode conseguir Fragmentos de Gesso Cinza com os monstros e Gotas de Orvalho no junco da área.
QUEST_LV_0200_20150323_004795	$Conserte a Estátua da Deusa
QUEST_LV_0200_20150323_004796	$Você coletou todos os materiais para o conserto. Volte até Estátua da Deusa e conserte-a.
QUEST_LV_0200_20150323_004797	$Verifique se a Estátua da Deusa foi consertada direito
QUEST_LV_0200_20150323_004798	$Você terminou de consertar a Estátua. Verifique novamente se a Estátua foi consertada direito.
QUEST_LV_0200_20150323_004799	$Destrua os Círculos Demoníacos
QUEST_LV_0200_20150323_004800	$A Estátua que você consertou era falsa. Destrua os Círculos Demoníacos rapidamente, pois você não sabe o que pode acontecer.
QUEST_LV_0200_20150323_004801	$O Sacrário já foi corrompido. Derrote os monstros que estão chegando ao Sacrário corrompido.
QUEST_LV_0200_20150323_004802	$A gerente deste Sacrário é a Mestre Clériga. Pergunte o que fazer para purificar a corrupção do Sacrário.
QUEST_LV_0200_20150323_004803	$Escute o conselho da Mestre Clériga
QUEST_LV_0200_20150323_004804	$Peça conselhos para a Mestre Clériga sobre o Sacrário corrompido na Floresta da Oração.
QUEST_LV_0200_20150323_004805	$A Mestre Clériga lhe explicou como purificar o Sacrário corrompido. Volte para a Floresta da Oração.
QUEST_LV_0200_20150323_004806	$Procure o Símbolo da Fé no Sacrário
QUEST_LV_0200_20150323_004807	$Como preparação para tempos assim, a Mestre Clériga escondeu o Símbolo de Fé no Sacrário. Procure o Símbolo da Fé no Sacrário.
QUEST_LV_0200_20150323_004808	$Queime os emblemas do Sacrário depois de encontrá-lo.
