QUEST_LV_0200_20150317_000001	Soldado de Philipas
QUEST_LV_0200_20150714_007223	Claro, antes que a ?ea para a qual fui designado desaparecesse completamente durante o Medzio Diena.
QUEST_LV_0200_20150714_007224	Voc?usou tudo?{nl}Ent?, essa ?a hora de agir!
QUEST_LV_0200_20150714_007225	Encontre Retia e diga que o Saltimestre est?vindo.{nl}Ela n? vai acreditar, mas j?consigo sentir o Saltimestre correndo para c? {nl}R?ido!
QUEST_LV_0200_20150714_007226	Voc?s?precisa dizer que o Saltimestre est?vindo.{nl}N? h?por que suspeitar de n?.
QUEST_LV_0200_20150714_007227	Nossas fam?ias conseguiram passar sem problemas.{nl}Como os soldados do reino ainda confiam em voc? n? v? descobrir.{nl}
QUEST_LV_0200_20150714_007228	Esta cidade... voc?descobrir?muitas coisas interessantes se continuar sua jornada aqui.{nl}E tamb? pode conhecer nossas fam?ias.
QUEST_LV_0200_20150714_007229	Eu tamb? n? quero ficar aqui.{nl}Eu n? estaria aqui se n? tivesse ordens para ajudar os Cavaleiros de Kaliss...{nl}
QUEST_LV_0200_20150714_007230	Kostas n? volta h?dias, ent? n? posso sair daqui.{nl}Mas os monstros est? soltos por a?e n? posso ficar sem fazer nada.
QUEST_LV_0200_20150714_007231	Precisamos ficar aqui at?Kostas voltar.{nl}Temos muito que fazer. Espero que ele volte logo.
QUEST_LV_0200_20150714_007232	Os oficiais n? gostam dos Cavaleiros de Kaliss. {nl}Para guardas de patente mais baixa, como eu, os Cavaleiros de Kaliss oferecem suprimentos e apoio. N? h?por que os odiarmos.
QUEST_LV_0200_20150714_007233	Se encontrarmos o S?bolo de Sedimento, conseguiremos entrar na ?ea sem nenhum problema.
QUEST_LV_0200_20150714_007234	N? tenho not?ias de Kostas.{nl}Ah... N? sei a quem reportar.
QUEST_LV_0200_20150714_007235	Os soldados do reino, os Cavaleiros de Kaliss e os ladr?s de t?ulos mant? um ?imo equil?rio.{nl}?por isso que as pessoas podem ao menos andar... Antes disso, ningu? ficava aqui.
QUEST_LV_0200_20150714_007236	Grande parte da cidade mant? sua forma original de 600 anos depois da trag?ia das Geadas de Pedra.{nl}Uma de minhas miss?s ?eliminar o registro de rebeldes aqui.{nl}
QUEST_LV_0200_20150714_007237	N? posso deixar meu posto sem Kostas aqui.{nl}Voc?pode encontrar v?ios registros se procurar na ?ea comercial. Quero que cuide disso.
QUEST_LV_0200_20150714_007238	N? se preocupe com o que est?escrito nos registros. {nl}N? faz sentido.
QUEST_LV_0200_20150714_007239	Preciso escoltar, limpar e proteger. N? sei como esperam que eu fa? tudo por conta pr?ria. {nl}Que bom que voc?veio ajudar.
QUEST_LV_0200_20150714_007240	?uma hist?ia antiga,{nl}mas v?ios soldados do reino vieram para uma verificao preliminar e ajudar a pesquisa dos Cavaleiros de Kaliss.{nl}
QUEST_LV_0200_20150714_007241	Mas ao contr?io do que acreditavam, as Geadas de Pedra estavam esperando.{nl}Morreram aqui... Quero pegar suas recordaes, mas ?dif?il...
QUEST_LV_0200_20150714_007242	As autoridades n? aceitaram bem o sacrif?io de dezenas de soldados em atividades de suporte. {nl}Por isso, o Ex?cito Real e os Cavaleiros de Kaliss ficaram distantes.
QUEST_LV_0200_20150714_007243	Ainda bem que era o meu dia de folga... Eu nem quero pensar nisso.{nl}Vou entregar isso para as fam?ias dos falecidos.
QUEST_LV_0200_20150714_007244	Gofden...{nl}O S?bolo de Sedimento... Ah, desculpe. Falei sozinho na sua frente.{nl}Se carregar isso, as Geadas de Pedra n? poder? atingir voc? N? acha isso incr?el?{nl}
QUEST_LV_0200_20150714_007245	Dizem que voc?sai por a?salvando o mundo de acordo com a vontade da Deusa?{nl}Ent?, tamb? pode salvar esta cidade!
QUEST_LV_0200_20150714_007246	Nosso patr? n? nos d?nada al? dos fundos de pesquisa para reviver a cidade.{nl}Por isso, magos como eu, que querem algum resultado, pesquisam escondidos dos soldados do reino e dos Cavaleiros de Kaliss.
QUEST_LV_0200_20150714_007247	Isso ?o bastante.{nl}?imo. Vamos combinar isso ao S?bolo de Sedimento.
QUEST_LV_0200_20150714_007248	A combinao teve sucesso... mas n? tenho como prever sua efic?ia.{nl}Pegue o S?bolo de Sedimento e tente us?lo nos monstros desta ?ea.
QUEST_LV_0200_20150714_007249	Se funcionar, alguma coisa reagir?a isso.{nl}Como os efeitos da Geada de Pedra sumiram, talvez isso seja mais r?ido. Enfim, conto com voc?
QUEST_LV_0200_20150714_007250	Como lhe entreguei o S?bolo de Sedimento, vou morrer quando a Geada de Pedra cair aqui.{nl}Por favor, fa? isso o mais r?ido poss?el.
QUEST_LV_0200_20150714_007251	Deu certo, n? ?{nl}Ent?, vou amplific?lo!
QUEST_LV_0200_20150714_007252	Ah... Eu quase esqueci.{nl}Mesmo amplificando o S?bolo de Sedimento com a Pedra de Reao, o poder n? ?eterno.{nl}
QUEST_LV_0200_20150714_007253	Isso, muito bom... Vou ativ?lo somente quando a Geada de Pedra cair.{nl}Devo conseguir o detector em algum lugar.
QUEST_LV_0200_20150714_007254	Se conseguir o detector, eu fa? o resto.{nl}Voc?contribuiu muito para este experimento. Vou lhe dar os efeitos do S?bolo de Sedimento.{nl}Embora n? v?durar muito...
QUEST_LV_0200_20150714_007255	Houve experi?cias no passado.{nl}Na Ag?cia de Reconstruo de Roxona, um laborat?io separado pesquisava a maldio das Geadas de Pedra.{nl}
QUEST_LV_0200_20150714_007256	Mas os dem?ios atacaram.{nl}A maioria foi morta pelos dem?ios ou petrificada pelos dispositivos experimentais.{nl}
QUEST_LV_0200_20150714_007257	O S?bolo de Sedimento... traz muitas lembran?s.{nl}Foi uma pena, pois as experi?cias tinham come?do a mostrar resultados.
QUEST_LV_0200_20150714_007258	Querem que eu proteja os objetos na Oficina Gerove.{nl}Voc?acha que isso faz sentido? Por que n? pedem para os monstros protegerem?{nl}
QUEST_LV_0200_20150714_007259	Ah! Vamos fazer assim.{nl}Ei, voc?pode me ajudar um pouco?
QUEST_LV_0200_20150714_007260	Ainda bem que os covardes dos Ladr?s Dico n? chegaram aqui ainda.{nl}As coisas s? limitadas, mas as pessoas est? vindo em bandos para peg?las...
QUEST_LV_0200_20150714_007261	Se estiver limpo assim, parece que eu posso come?r.
QUEST_LV_0200_20150714_007262	Os ladr?s deixaram algumas caixas na Oficina Gerove.{nl}Ao esfregar Erva de Velas, os monstros devem aparecer.{nl}
QUEST_LV_0200_20150714_007263	Mas voc?deve ter cuidado.{nl}Os monstros n? s? agrad?eis. ?melhor fugir depois de atac?los um pouco.
QUEST_LV_0200_20150714_007264	Acho que posso sair um pouco daqui gra?s a voc?{nl}
QUEST_LV_0200_20150714_007265	Voc?n? viu os Ladr?s Dico, viu?{nl}Na verdade, eu tamb? n? os vi, mas Amanda disse para tomar cuidado.
QUEST_LV_0200_20150714_007266	Cuide dos monstros no Distrito Militar enquanto eu preparo o teste. {nl}N? podem nos pegar ou interromper.
QUEST_LV_0200_20150714_007267	O topo da fortaleza ?relativamente seguro.{nl}Se voc?sair daqui, encontrar?v?ios monstros e ladr?s.{nl}Claro, os soldados do reino tamb?. 
QUEST_LV_0200_20150714_007268	N? gosto disso. Proteger esse lugar com os Cavaleiros de Kaliss por a?{nl}Voc?nunca vai entender como ?
QUEST_LV_0200_20150714_007269	At?agora, voc?s?deve ter visto artefatos que paravam o tempo.{nl}Agora, comigo aqui, ser?diferente.
QUEST_LV_0200_20150714_007270	Vou continuar o teste daqui.{nl}Por favor, v?at?o portal e ative-o.
QUEST_LV_0200_20150714_007271	N? se preocupe muito.{nl}S? apenas mem?ias, portanto, n? poder? fazer nenhum mal a voc?
QUEST_LV_0200_20150714_007272	Sinto muito. Voc?se machucou?{nl}Eu n? sabia que excederia minhas expectativas.{nl}
QUEST_LV_0200_20150714_007273	O que era aquilo? Dem?ios? S? realmente dem?ios?{nl}Eu n? tenho como saber. Acho que vou precisar ajustar o portal que leva ?Fortaleza da Terra.
QUEST_LV_0200_20150714_007274	?um pouco perigoso... mas quero propor um acordo.{nl}Na verdade, estamos cooperando com os Ladr?s de Amanda. Sim, sei que ?loucura.{nl}
QUEST_LV_0200_20150714_007275	Para conseguir o que quer, voc?deve correr esse risco.{nl}Ajude os Ladr?s de Amanda a entrarem na cidade.
QUEST_LV_0200_20150714_007276	Os mortos voltar? se esta cidade se livrar da maldio?{nl}N?, mas o que vai acontecer depois ?mais importante.
QUEST_LV_0200_20150714_007277	Parece que arriscamos nossa vida a cada segundo.{nl}Mas estamos sempre atentos para que nada d?errado.
QUEST_LV_0200_20150714_007278	Somos diferentes dos Ladr?s Dico.{nl}Se voc?me ajudar desta vez, certamente vou retribuir um dia.
QUEST_LV_0200_20150714_007279	Os guardas estavam perguntando o que era essa confus? e falei de voc? {nl}Deve dar tudo certo.{nl}
QUEST_LV_0200_20150714_007280	Se observar a cidade daqui, o tempo parece ter parado.{nl}Por?, muitos incidentes acontecem todos os dias.{nl}{nl}
QUEST_LV_0200_20150714_007281	Precisamos trazer Steponas aqui.{nl}Ele prometeu nos levar ao N?leo Congelado. Isso vai ajudar a estudar as Geadas de Pedra.{nl}
QUEST_LV_0200_20150714_007282	Precisamos esvaziar as Ru?as do Moinho, mas podem suspeitar se eu fizer o trabalho...{nl}Como o Ex?cito Real respeita voc? quero a sua ajuda.
QUEST_LV_0200_20150714_007283	V? reduzir suas fronteiras conforme s? atacados.{nl}Ou trazer um grande ex?cito... mas n? poder? fazer isso no estado atual do reino.
QUEST_LV_0200_20150714_007284	Agora, atraia os guardas at?as Ru?as do Moinho.{nl}Diga que os monstros est? atacando a Bifurcao do Estu?io.{nl}
QUEST_LV_0200_20150714_007285	Steponas passar?escondido.{nl}Claro, voc?ganhar?a confian? deles. 
QUEST_LV_0200_20150714_007286	Rofdel ficar?de olho da torre de vigia. Por?, em um dia nublado assim, n? faz diferen?.
QUEST_LV_0200_20150714_007287	Steponas passou em seguran?.{nl}Ele estava te procurando. V?ajud?lo.{nl}
QUEST_LV_0200_20150714_007288	Os guardas n? falar? sobre n? para Rofdel.{nl}Tudo o que estavam fazendo at?agora ?contra a lei militar.
QUEST_LV_0200_20150714_007289	Voc?viu os registros restantes nesta cidade? N? achou um pouco estranho?{nl}Os Cavaleiros de Kaliss est? recolhendo os registros que os soldados do reino ainda n? eliminaram.{nl}
QUEST_LV_0200_20150714_007290	Tenho um pedido. Pegue a propaganda que o Ex?cito Real distribuiu.{nl}Quando as compararmos com os registros que pegamos, vamos encontrar alguma coisa.
QUEST_LV_0200_20150714_007291	Com a derrota de Ruklys cada vez mais concreta, o Ex?cito Real come?u a distribuir mais propaganda.{nl}Algumas propagandas devem ter ficado nas Geadas de Pedra.
QUEST_LV_0200_20150714_007292	Eles fizeram hist?ias t? constrangedoras soarem como um ?ico heroico para os ignorantes. {nl}Seiscentos anos se passaram, mas ainda s? constrangedoras.
QUEST_LV_0200_20150714_007293	Foi voc?que gerou uma oportunidade para mim.{nl}Mas que seja. N? sabia que aqui tinha tantos guardas.
QUEST_LV_0200_20150714_007294	Preciso da sua ajuda. Preciso de uma bomba mais poderosa.{nl}O N?leo Congelado que prometi aos Cavaleiros de Kaliss est?dentro do Gelador de Pedra.
QUEST_LV_0200_20150714_007295	S?fa? o que eu disse. {nl}Sem a bomba, n? vamos conseguir o N?leo Congelado.
QUEST_LV_0200_20150714_007296	O n?el de pureza n? ?satisfat?io.{nl}Isso pode demorar.
QUEST_LV_0200_20150714_007297	Como n? temos um fus?el, foi feita para explodir ao ser acertada.{nl}Fique com isso para testar nos monstros.
QUEST_LV_0200_20150714_007298	Se n? fizermos isso, n? poderemos come?r o pr?imo passo.
QUEST_LV_0200_20150714_007299	N? vai explodir imediatamente e a explos? n? ?firme.{nl}O que fazer...?
QUEST_LV_0200_20150714_007300	Deve grudar no monstro para garantir uma boa explos?.{nl}Voc?pode pegar Muco Grudento dos monstros em Viskas?
QUEST_LV_0200_20150714_007301	Vou falar de novo. Essa ?a ?ica maneira de manter voc?em seguran?.{nl}Hmm? Claro que voc?deve jogar. Estou ocupado.
QUEST_LV_0200_20150714_007302	Acho que voc?derramou um pouco no caminho. {nl}Estragou seus sapatos novos.
QUEST_LV_0200_20150714_007303	Voc?vai encontrar um Gelador de Pedra firme na ?ea residencial. {nl}Jogue isso nele para acord?lo. N? se esque? de se afastar depois de jogar.
QUEST_LV_0200_20150714_007304	Quando a armadura se abrir, mire nesse espa?.{nl}N? se esque? do N?leo Congelado.{nl}
QUEST_LV_0200_20150714_007305	Quer dizer que este ?o N?leo Congelado que incomodou a tantos... {nl}Os soldados que lhe ajudaram v? contar suas hist?ias heroicas para o homem na torre de vigia e n? v? suspeitar de voc? N? se preocupe.
QUEST_LV_0200_20150714_007306	Fiquei bem preocupado, pois parece estar havendo uma grande confus? ali.{nl}Mas tamb? tive resultados produtivos. Vai dar tudo certo logo.{nl}
QUEST_LV_0200_20150714_007307	Se voc?ficar por aqui, fale comigo.{nl}Posso lan?r um feiti? para proteger voc?das Geadas de Pedra.
QUEST_LV_0200_20150714_007308	?imo. Vamos ao mercado antigo. {nl}Quando voc?tocar no detector, o Sparnas de Chifres vai atacar.
QUEST_LV_0200_20150714_007309	Os Ladr?s Dico s? muito espertos.{nl}Eles compram velharias baratas e enterram onde a Geada de Pedra cai.{nl}
QUEST_LV_0200_20150714_007310	Ent?, elas se transformam em pedra.{nl}Os aristocratas das grandes cidades s? enganados e compram por pre?s altos.
QUEST_LV_0200_20150714_007311	Sempre h?pedras flutuando no Porto Vadova.{nl}S? registros da rebeli? de seiscentos anos atr?.{nl}
QUEST_LV_0200_20150714_007312	O conte?o dos registros desencoraja os soldados, ent? os oficiais costumam destru?los.{nl}Por?, como n? temos m? de obra suficiente, quero que voc?cuide disso.
QUEST_LV_0200_20150714_007313	Eu n? entendo como essas coisas pesadas flutuam e causam tontura.{nl}Provavelmente, vou us?las para consertar a torre de vigia.
QUEST_LV_0200_20150714_007314	Sempre que a Geada de Pedra cai, o n?ero de soldados diminui e o reino n? tem outros para enviar.{nl}Por isso, pedimos para os ladr?s de t?ulos ou refugiados se alistarem.{nl}
QUEST_LV_0200_20150714_007315	A ?ica coisa que posso fazer ?espalhar esses folhetos.{nl}Espero que voc?possa me ajudar e apoiar o reino.
QUEST_LV_0200_20150714_007316	Sei que as pessoas est? pegando os folhetos, mas o n?ero de candidatos tem diminu?o ultimamente. {nl}Porque os ladr?s de t?ulos come?ram a olhar dentro. N? ?suspeito?
QUEST_LV_0200_20150714_007317	Quando algu? como o Premi?Eminente surgir de novo, o reino prosperar?rapidamente.{nl}Rezo para as Deusas para que voc?seja uma pessoa importante como ele.
QUEST_LV_0200_20150714_007318	O n?ero de monstros no Sal? Kovos est?aumentando. {nl}N? nem sabemos o que est?atraindo eles para c?{nl}
QUEST_LV_0200_20150714_007319	N? esperamos nada do Ex?cito Real que deveria nos ajudar primeiro.{nl}Se voc?puder nos ajudar, vamos lhe dar as recompensas que prometemos aos soldados.
QUEST_LV_0200_20150714_007320	N? investigamos o incidente nesta cidade h?muito tempo.{nl}Estamos tentando descobrir fatos secretos sobre a rebeli?.
QUEST_LV_0200_20150714_007321	Ouvi dizer que voc?tem muita experi?cia em batalha.{nl}Que tal se juntar aos Cavaleiros de Kaliss?
QUEST_LV_0200_20150714_007322	Acredito que n? h?maldio no mundo que n? possa ser curada.{nl}Com toda a minha f? vou descobrir a cura.
QUEST_LV_0200_20150714_007323	Voc??t? not?el quanto dizem os boatos. {nl}Os Cavaleiros de Kaliss precisam de her?s como voc?
QUEST_LV_0200_20150714_007324	Este lugar ?interessante. {nl}Esta cidade est?cheia de coisas para experimentar.
QUEST_LV_0200_20150714_007325	H?muita poeira e detritos de pedra nessa regi?. V?ios soldados e cavaleiros t? uma tosse severa. {nl}O Quartel-general dos Cavaleiros envia doces refrescantes misturados com plantas medicinais.{nl}
QUEST_LV_0200_20150714_007326	Mas os soldados foram atingidos pela Geada de Pedra enquanto traziam os suprimentos do m?.{nl}Quando os encontramos, os monstros j?tinham roubado tudo. {nl}Voc?pode derrotar esses monstros e recuperar os doces refrescantes?
QUEST_LV_0200_20150714_007327	Eu gostaria de lhe dar alguns se tivermos sobrando. {nl}At?os ladr?s de t?ulos est? atr? dos doces.
QUEST_LV_0200_20150714_007328	N? lhe culpo se voc?comer um em segredo. {nl}Mas voc?n? parece ser esse tipo de pessoa.
QUEST_LV_0200_20150714_007329	H?algum tempo, soldados patrulhando a ?ea foram atingidos pela Geada de Pedra enquanto passavam pela Pra? de Estalactite.{nl}Somos afiliados do Ex?cito Real, mas a maioria de n? vem da prov?cia de Kaliss.{nl}
QUEST_LV_0200_20150714_007330	Quero ajudar o povo da minha terra natal, mas n? h?como livr?los da maldio. {nl}S?podemos levar seu testamento e recordaes para as fam?ias. {nl}Voc?pode mostrar sua bondade antes que eles percam a consci?cia?
QUEST_LV_0200_20150714_007331	Entendo a lealdade deles ao reino, mas quando os vejo fazendo pessoas realizarem coisas imposs?eis que levam ?morte...{nl}N? sei mais quem ?o monstro.
QUEST_LV_0200_20150714_007332	Para restaurar a cidade, os Cavaleiros de Kaliss contrataram v?ios especialistas.{nl}Mas recrutam pessoas sem dar nenhum apoio depois.{nl}
QUEST_LV_0200_20150714_007333	Para continuar a pesquisa, preciso muito da sua ajuda.{nl}Se conseguirmos fazer o rem?io milagroso que retira o esp?ito controlado, poderemos descobrir a origem da maldio.
QUEST_LV_0200_20150714_007334	Al? do meu conhecimento sobre feiti?s, estou testando v?ios m?odos diferentes.{nl}Definitivamente, vou acabar com essa maldio.
QUEST_LV_0200_20150714_007335	S? ingredientes suficientes para criar o Elixir da Liberdade. {nl}Vamos come?r.
QUEST_LV_0200_20150714_007336	Vou lhe dar este Elixir da Liberdade. Use-o nas v?imas petrificadas da Fortaleza Vienti.{nl}As almas aprisionadas no corpo podem dizer algo sobre o que testemunharam antes de morrer.
QUEST_LV_0200_20150714_007337	As almas furiosas podem atacar voc?{nl}Por favor, cuidado.
QUEST_LV_0200_20150714_007338	N? havia nada a descobrir al? de que todos estavam em p?ico e assustados antes de morrer. {nl}Acho melhor procurar v?imas mais antigas.
QUEST_LV_0200_20150714_007339	Por causa da Geada de Pedra, n? conseguimos encontrar vest?ios dos corpos das v?imas sacrificadas no dia da rebeli? de Ruklys.{nl}Mas as almas furiosas est? profundamente enraizadas na cidade.
QUEST_LV_0200_20150714_007340	Acenda o incens?io que preparei na Fortaleza Vienti com os Cavaleiros.{nl}As almas furiosas contar? a hist?ia daquele dia.
QUEST_LV_0200_20150714_007341	Por favor, n? provoque as almas furiosas.{nl}J?que s? inst?eis, n? sei como podem reagir.
QUEST_LV_0200_20150714_007342	Dor e f?ia... Traio e medo...{nl}Ainda carrego os sentimentos daquele dia.{nl}
QUEST_LV_0200_20150714_007343	Mas n? s? direcionados a humanos.{nl}?como algo profundo e sombrio... Vou voltar para o quartel-general e descobrir mais sobre isso.
QUEST_LV_0200_20150714_007344	At??vores e papel s? transformados em pedra, n? s?seres vivos...{nl}Tenho muito interesse nessas coisas absurdas. {nl}
QUEST_LV_0200_20150714_007345	Se voc?puder me ajudar...{nl}Talvez seja poss?el salv?los, mesmo amaldi?ados e petrificados. Embora possam perder os bra?s.
QUEST_LV_0200_20150714_007346	Mesmo que funcione em apenas um ou dois entre dez, seria ?imo.{nl}Eu confio em meu conhecimento e habilidade.
QUEST_LV_0200_20150714_007347	Voc?n? conseguiu salvar nenhum deles? {nl}Acho que isso n? d?certo. Vou pegar de volta o que sobrou.
QUEST_LV_0200_20150714_007348	Precisamos usar rem?ios diferentes e testar o m?imo poss?el. {nl}Mas vamos precisar de v?ias amostras.
QUEST_LV_0200_20150714_007349	Voc?pode derrotar os monstros na Fortaleza Nevekia e obter amostras petrificadas?
QUEST_LV_0200_20150714_007350	Isso deve ser suficiente para cerca de cinco testes. Bom trabalho.
QUEST_LV_0200_20150714_007351	Vou explicar de novo. A maldio da petrificao ?uma reao qu?ica, ent? n? acho que voc?consiga anul?la.{nl}Se me encontrar r?ido, posso salvar a sua vida, mesmo que perca uma das suas pernas.
QUEST_LV_0200_20150714_007352	Que as v?imas descansem em paz.{nl}Por?, assim como o rio atrai a quem tem sede, este lugar ?incr?el para mim e minha sede de conhecimento.{nl}
QUEST_LV_0200_20150714_007353	Um monstro idiota est?arruinando o belo lugar no topo da Fortaleza Nevekia.{nl}Quero que voc?d?um jeito nisso.
QUEST_LV_0200_20150714_007354	Se ele tem um c?ebro, como pode arruinar isso? {nl}Bom, talvez por isso ele seja um monstro.
QUEST_LV_0200_20150714_007355	Voc?o derrotou? ?imo trabalho!{nl}N? preciso mais me preocupar com a destruio deste local at?que outro monstro apare?.
QUEST_LV_0200_20150714_007356	As Geadas de Pedra acabaram de passar. Vamos logo ao trabalho.{nl}Podemos ver quando e onde a Geada de Pedra cai verificando se os soldados recuaram ou n?.{nl}
QUEST_LV_0200_20150714_007357	E o jeito mais f?il de obter informaes ?se tornando um soldado do reino.
QUEST_LV_0200_20150714_007358	N? tenho certeza, pois sou um soldado de baixa patente.{nl}Originalmente, esse lugar pertencia a Kaliss.{nl}
QUEST_LV_0200_20150714_007359	Este lugar pertencia ao reino. Por causa das rebeli?s, seiscentos anos se passaram.{nl}Todos acham que os Cavaleiros de Kaliss v? agir novamente em breve.{nl}
QUEST_LV_0200_20150714_007360	Mesmo nesta situao, n? h?nenhum conflito...{nl}O objetivo das pessoas enviadas para c??pesquisar, como Kostas. Como um soldado de baixa patente como eu pode saber de alguma coisa?
QUEST_LV_0200_20150714_007361	De acordo com os oficiais s?iores, eles n? pertencem oficialmente ao ex?cito. S? mais parecidos com mercen?ios.{nl}N? tenho certeza, mas me perguntaram v?ias coisas sobre a Geada de Pedra.{nl}
QUEST_LV_0200_20150714_007362	Muitos membros dos Cavaleiros de Kaliss vieram continuar sua pesquisa ao lado de Kostas.{nl}O que eles podem querer da cidade das for?s rebeldes? N? ?estranho?
QUEST_LV_0200_20150714_007363	N? sei direito, pois sou um soldado de baixa patente, mas parece que n? se gostam.{nl}Eu entendo, pois est? tentando agir depois de lidar com isso por seiscentos anos. Quem gostaria disso?{nl}
QUEST_LV_0200_20150714_007364	Por?, os Cavaleiros de Kaliss dizem ter esse direito e v? se concentrar na pesquisa. N? podemos falar nada.{nl}Disseram para observ?los e informar sobre o paradeiro deles... Mas desapareceram de novo.
QUEST_LV_0200_20150714_007365	Eu consegui isso pagando uma grande quantia ao Ex?cito Real. D?uma olhada, mas n? toque.{nl}Por causa da petrificao, aqui se tornou uma terra sem vida por centenas de anos.{nl}
QUEST_LV_0200_20150714_007366	Mas a vida ?incr?el. {nl}Prevejo que alguns monstros que viviam aqui se tornaram resistentes depois de serem expostos a Geadas de Pedra fracas.{nl}
QUEST_LV_0200_20150714_007367	Os cristais que crescem dentro de monstros especiais podem liberar o poder de resistir a Geadas de Pedra severas.{nl}O problema ?que s?encontram uma em centenas ou at?milhares deles...{nl} ?uma pena.
QUEST_LV_0200_20150714_007368	Agrade?.{nl}Conseguiremos acabar com a maldio da petrificao se ampliarmos este poder et?eo.{nl}Pegue as Pedras de Reao dos monstros no Cruzamento Palaikai. Conto com voc?
QUEST_LV_0200_20150714_007369	Agrade?.{nl}Os detectores de petrificao deixados pelos soldados est? espalhados pelo Cruzamento Palaikai.{nl}Traga somente aqueles que reagirem ao S?bolo de Sedimento.
QUEST_LV_0200_20150714_007370	Desde que vim para c? sinto como se estivessem me observando.{nl}Enfim, vejo voc?quando o trabalho acabar.
QUEST_LV_0200_20150714_007371	No futuro, quando ficar mais evidente, vou ter a oportunidade de mostrar a voc?{nl}Precisamos de mais documentos.
QUEST_LV_0200_20150714_007372	Por enquanto, s?posso dizer que h?alguns objetivos diferentes envolvidos com a rebeli? de Ruklys.
QUEST_LV_0200_20150714_007373	O Ex?cito Real proibiu todos da cidade de pesquisarem sobre Ruklys.{nl}Qualquer um que fizer isso ser?considerado um traidor. Os soldados s? rigidamente disciplinados.
QUEST_LV_0200_20150714_007374	Por?, quanto mais eles escondem, mais despertam a curiosidade sobre Ruklys.{nl}Pode haver o risco de forca, mas como um estudioso ficaria parado?
QUEST_LV_0200_20150714_007375	Voc?tem muita coragem.{nl}De acordo com os registros, s? 10 portais no total. Entre eles, quatro ficam perto daqui.{nl}Voc?pode descobrir se continuam ativos?
QUEST_LV_0200_20150714_007376	Traga p?vora de pedra dos monstros perto das Ru?as do Moinho.{nl}Vamos fazer explosivos especiais com isso.
QUEST_LV_0200_20150714_007377	Vou levar os ladr?s at?a ?ea central da cidade. {nl}Enquanto isso, se voc?encontrar um monstro, logo os guardas capturar? voc?{nl}
QUEST_LV_0200_20150714_007378	Por isso, quero que voc?v?primeiro ?Bifurcao do Estu?io.{nl}Ao contr?io dos Ladr?s Dico, eles pagam suas d?idas. Com certeza, v? ajudar na sua jornada.
QUEST_LV_0200_20150714_007379	N? sei se voc?conhece a relao entre os soldados e os Cavaleiros de Kaliss, mas...{nl}Enfim, os soldados est? atr? de algo que jamais poder? ter.{nl}
QUEST_LV_0200_20150714_007380	?por isso que precisam dos ladr?s de t?ulos. {nl}Claro, ?arriscado cooperar com os ladr?s.{nl}
QUEST_LV_0200_20150714_007381	Mesmo assim, vale a pena.{nl}No futuro, o relacionamento com os ladr?s ser??il.{nl}
QUEST_LV_0200_20150714_007382	Use o Estimulante de Monstro nos monstros da Bifurcao do Estu?io.{nl}Os monstros n? aguentam e enlouquecem. Vai gerar uma confus?.
QUEST_LV_0200_20150714_007383	픰 vezes, a informao deve ser vazada, escondida ou modificada para ter valor.{nl}Tamb? podemos formar conex?s com pessoas diferentes assim.
QUEST_LV_0200_20150714_007384	Dizem que a hist?ia ?o registro dos vencedores. Eu tamb? acho.{nl}Voc?j?viu as l?ides ainda conservadas nas ru?as perto de Fedimian?{nl}
QUEST_LV_0200_20150714_007385	Se os soldados est? espalhando a verdade, ainda h?muitas d?idas sobre os registros restantes aqui.{nl}E o comportamento dos soldados tentando destru?los tamb? ?estranho.{nl}{nl}
QUEST_LV_0200_20150714_007386	Jogue isso nos monstros.{nl}Se tiver sorte, causar?uma grande explos?! Se isso n? acontecer, s?vai deix?los irritados.
QUEST_LV_0200_20150714_007387	Por favor, pegue Cristais das Trevas dos monstros na Fortaleza Vienti.{nl}Vou tentar fazer um elixir para extrair o esp?ito controlado.
QUEST_LV_0200_20150714_007388	Agrade?. Primeiro, voc?pode usar esse solvente nos monstros que sofrem por causa da Geada de Pedra?{nl}Na Fortaleza Nevekia. Se der certo, voc?pode usar em humanos tamb?.
QUEST_LV_0200_20150714_007389	Particularmente, acho que a maldio da petrificao ?uma reao qu?ica.{nl}Isso significa que n? ?poss?el recuperar as coisas que j?foram petrificadas.
QUEST_LV_0200_20150714_007390	Mesmo que o Bokor d?o seu melhor, n? conseguir?recuperar.{nl}
QUEST_LV_0200_20150714_007391	No entanto, com a petrificao em andamento...{nl}Acho que podemos salvar o resto mesmo perdendo as partes que j?foram petrificadas.
QUEST_LV_0200_20150714_007392	Quase toda maldio desaparece quando quem a lan?u morre.{nl}Acho que a maldio da petrificao ?o mesmo caso para os peregrinos.{nl}
QUEST_LV_0200_20150714_007393	Mas a maldio durou seiscentos anos.{nl}Isso significa que quem a lan?u tamb? viveu por seiscentos anos.{nl}
QUEST_LV_0200_20150714_007394	Se descobrirmos a identidade do respons?el, poderemos resistir com mais for?.
QUEST_LV_0200_20150714_007395	Kostas n? parece estar com medo.{nl}J?eu estou assustado, mesmo trabalhando aqui h?muito tempo. Eu nem imagino para onde ele foi...
QUEST_LV_0200_20150714_007396	Lamento por Gofden, que deve estar me esperando, mas n? posso ir.{nl}Devo continuar minha pesquisa.
